	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	25.193	25.263	25.21	
2	1.01	25.193	25.263	25.209	
3	1.02	25.192	25.264	25.209	
4	1.05	25.19	25.264	25.207	
5	1.11	25.187	25.265	25.205	
6	1.21	25.185	25.267	25.203	
7	1.31	25.183	25.269	25.203	
8	1.41	25.183	25.271	25.202	
9	1.51	25.182	25.272	25.202	
10	1.61	25.182	25.274	25.202	
11	1.71	25.183	25.275	25.203	
12	1.81	25.183	25.276	25.203	
13	1.91	25.183	25.278	25.203	
14	2.	25.183	25.279	25.204	
15	2.01	25.183	25.279	25.204	
16	2.02	25.183	25.279	25.204	
17	2.05	25.183	25.279	25.204	
18	2.14	25.183	25.28	25.204	
19	2.24	25.183	25.281	25.204	
20	2.34	25.183	25.282	25.205	
21	2.44	25.183	25.283	25.205	
22	2.54	25.183	25.284	25.205	
23	2.64	25.183	25.285	25.205	
24	2.74	25.183	25.286	25.205	
25	2.84	25.183	25.287	25.205	
26	2.94	25.183	25.288	25.205	
27	3.	25.183	25.288	25.205	
28	3.01	25.183	25.288	25.205	
29	3.02	25.183	25.288	25.205	
30	3.05	25.183	25.288	25.205	
31	3.14	25.183	25.289	25.205	
32	3.24	25.183	25.29	25.205	
33	3.34	25.183	25.29	25.205	
34	3.44	25.182	25.291	25.205	
35	3.54	25.182	25.292	25.205	
36	3.64	25.182	25.292	25.205	
37	3.74	25.182	25.293	25.205	
38	3.84	25.182	25.294	25.205	
39	3.94	25.182	25.294	25.205	
40	4.	25.181	25.295	25.205	
41	4.01	25.181	25.295	25.205	
42	4.02	25.181	25.295	25.205	
43	4.05	25.181	25.295	25.205	
44	4.14	25.181	25.295	25.205	
45	4.24	25.181	25.296	25.205	
46	4.34	25.181	25.296	25.205	
47	4.44	25.181	25.297	25.205	
48	4.54	25.18	25.297	25.205	
49	4.64	25.18	25.298	25.205	
50	4.74	25.18	25.298	25.205	
51	4.84	25.18	25.299	25.205	
52	4.94	25.18	25.299	25.205	
53	5.	25.18	25.299	25.205	
54	5.01	25.18	25.299	25.205	
55	5.02	25.18	25.299	25.205	
56	5.05	25.18	25.299	25.205	
57	5.14	25.179	25.3	25.205	
58	5.24	25.179	25.3	25.205	
59	5.34	25.179	25.301	25.205	
60	5.44	25.179	25.301	25.205	
61	5.54	25.179	25.301	25.204	
62	5.64	25.179	25.302	25.204	
63	5.74	25.178	25.302	25.204	
64	5.84	25.178	25.302	25.204	
65	5.94	25.178	25.303	25.204	
66	6.	25.178	25.303	25.204	
67	6.01	25.178	25.303	25.204	
68	6.02	25.178	25.303	25.204	
69	6.05	25.178	25.303	25.204	
70	6.14	25.178	25.303	25.204	
71	6.24	25.178	25.303	25.204	
72	6.34	25.178	25.304	25.204	
73	6.44	25.178	25.304	25.204	
74	6.54	25.177	25.304	25.204	
75	6.64	25.177	25.304	25.204	
76	6.74	25.177	25.305	25.204	
77	6.84	25.177	25.305	25.204	
78	6.94	25.177	25.305	25.204	
79	7.	25.177	25.305	25.204	
80	7.01	25.177	25.305	25.204	
81	7.02	25.177	25.305	25.204	
82	7.05	25.177	25.305	25.204	
83	7.14	25.177	25.306	25.204	
84	7.24	25.177	25.306	25.204	
85	7.34	25.177	25.306	25.204	
86	7.44	25.176	25.306	25.204	
87	7.54	25.176	25.306	25.204	
88	7.64	25.176	25.306	25.204	
89	7.74	25.176	25.307	25.204	
90	7.84	25.176	25.307	25.204	
91	7.94	25.176	25.307	25.204	
92	8.	25.176	25.307	25.204	
93	8.01	25.176	25.307	25.204	
94	8.02	25.176	25.307	25.204	
95	8.05	25.176	25.307	25.204	
96	8.14	25.176	25.307	25.204	
97	8.24	25.176	25.307	25.204	
98	8.34	25.176	25.308	25.204	
99	8.44	25.176	25.308	25.203	
100	8.54	25.176	25.308	25.203	
101	8.64	25.176	25.308	25.203	
102	8.74	25.176	25.308	25.203	
103	8.84	25.176	25.308	25.203	
104	8.94	25.176	25.308	25.203	
105	9.	25.176	25.308	25.203	
106	9.01	25.176	25.308	25.203	
107	9.02	25.175	25.308	25.203	
108	9.05	25.175	25.309	25.203	
109	9.14	25.175	25.309	25.203	
110	9.24	25.175	25.309	25.203	
111	9.34	25.175	25.309	25.203	
112	9.44	25.175	25.309	25.203	
113	9.54	25.175	25.309	25.203	
114	9.64	25.175	25.309	25.203	
115	9.74	25.175	25.309	25.203	
116	9.84	25.175	25.309	25.203	
117	9.94	25.175	25.309	25.203	
118	10.	25.175	25.31	25.203	
119	10.01	25.175	25.31	25.203	
120	10.02	25.175	25.31	25.203	
121	10.05	25.175	25.31	25.203	
122	10.14	25.175	25.31	25.203	
123	10.24	25.175	25.31	25.203	
124	10.34	25.175	25.31	25.203	
125	10.44	25.175	25.31	25.203	
126	10.54	25.175	25.31	25.203	
127	10.64	25.175	25.31	25.203	
128	10.74	25.175	25.31	25.203	
129	10.84	25.175	25.31	25.203	
130	10.94	25.175	25.31	25.203	
131	11.	25.175	25.31	25.203	
132	11.01	25.175	25.31	25.203	
133	11.02	25.175	25.31	25.203	
134	11.05	25.175	25.31	25.203	
135	11.14	25.175	25.31	25.203	
136	11.24	25.175	25.31	25.203	
137	11.34	25.175	25.311	25.203	
138	11.44	25.175	25.311	25.203	
139	11.54	25.175	25.311	25.203	
140	11.64	25.175	25.311	25.203	
141	11.74	25.175	25.311	25.203	
142	11.84	25.175	25.311	25.203	
143	11.94	25.175	25.311	25.203	
144	12.	25.175	25.311	25.203	
145	12.01	25.175	25.311	25.203	
146	12.02	25.175	25.311	25.203	
147	12.05	25.175	25.311	25.203	
148	12.14	25.175	25.311	25.203	
149	12.24	25.175	25.311	25.203	
150	12.34	25.175	25.311	25.204	
151	12.44	25.175	25.311	25.204	
152	12.54	25.175	25.311	25.204	
153	12.64	25.175	25.311	25.204	
154	12.74	25.175	25.311	25.204	
155	12.84	25.175	25.311	25.204	
156	12.94	25.175	25.311	25.204	
157	13.	25.175	25.311	25.204	
158	13.01	25.175	25.311	25.204	
159	13.02	25.175	25.311	25.204	
160	13.05	25.175	25.311	25.204	
161	13.14	25.175	25.312	25.204	
162	13.24	25.175	25.312	25.204	
163	13.34	25.175	25.312	25.204	
164	13.44	25.175	25.312	25.204	
165	13.54	25.175	25.312	25.204	
166	13.64	25.175	25.312	25.204	
167	13.74	25.175	25.312	25.204	
168	13.84	25.175	25.312	25.204	
169	13.94	25.175	25.312	25.204	
170	14.	25.175	25.312	25.204	
171	14.01	25.175	25.312	25.204	
172	14.02	25.175	25.312	25.204	
173	14.05	25.175	25.312	25.204	
174	14.14	25.175	25.312	25.204	
175	14.24	25.175	25.312	25.204	
176	14.34	25.175	25.312	25.204	
177	14.44	25.175	25.312	25.204	
178	14.54	25.175	25.312	25.204	
179	14.64	25.175	25.312	25.204	
180	14.74	25.175	25.312	25.204	
181	14.84	25.175	25.312	25.204	
182	14.94	25.175	25.312	25.204	
183	15.	25.175	25.312	25.204	
184	15.01	25.175	25.312	25.204	
185	15.02	25.175	25.312	25.204	
186	15.05	25.175	25.312	25.204	
187	15.14	25.175	25.312	25.204	
188	15.24	25.175	25.312	25.204	
189	15.34	25.175	25.312	25.204	
190	15.44	25.175	25.312	25.204	
191	15.54	25.175	25.312	25.204	
192	15.64	25.175	25.312	25.204	
193	15.74	25.175	25.312	25.204	
194	15.84	25.175	25.313	25.204	
195	15.94	25.175	25.313	25.204	
196	16.	25.175	25.313	25.204	
197	16.01	25.175	25.313	25.204	
198	16.02	25.175	25.313	25.204	
199	16.05	25.175	25.313	25.204	
200	16.14	25.175	25.313	25.204	
201	16.24	25.175	25.313	25.204	
202	16.34	25.175	25.313	25.204	
203	16.44	25.175	25.313	25.204	
204	16.54	25.175	25.313	25.204	
205	16.64	25.175	25.313	25.204	
206	16.74	25.175	25.313	25.204	
207	16.84	25.175	25.313	25.204	
208	16.94	25.175	25.313	25.204	
209	17.	25.175	25.313	25.204	
210	17.01	25.175	25.313	25.204	
211	17.02	25.175	25.313	25.204	
212	17.05	25.175	25.313	25.204	
213	17.14	25.175	25.313	25.204	
214	17.24	25.175	25.313	25.204	
215	17.34	25.175	25.313	25.204	
216	17.44	25.175	25.313	25.204	
217	17.54	25.175	25.313	25.204	
218	17.64	25.175	25.313	25.204	
219	17.74	25.176	25.313	25.204	
220	17.84	25.176	25.313	25.204	
221	17.94	25.176	25.313	25.204	
222	18.	25.176	25.313	25.204	
223	18.01	25.176	25.313	25.204	
224	18.02	25.176	25.313	25.204	
225	18.05	25.176	25.313	25.204	
226	18.14	25.176	25.313	25.204	
227	18.24	25.176	25.313	25.205	
228	18.34	25.176	25.313	25.205	
229	18.44	25.176	25.313	25.205	
230	18.54	25.176	25.313	25.205	
231	18.64	25.176	25.313	25.205	
232	18.74	25.176	25.313	25.205	
233	18.84	25.176	25.313	25.205	
234	18.94	25.176	25.313	25.205	
235	19.	25.176	25.313	25.205	
236	19.01	25.176	25.313	25.205	
237	19.02	25.176	25.313	25.205	
238	19.05	25.176	25.313	25.205	
239	19.14	25.176	25.313	25.205	
240	19.24	25.176	25.313	25.205	
241	19.34	25.176	25.313	25.205	
242	19.44	25.176	25.313	25.205	
243	19.54	25.176	25.314	25.205	
244	19.64	25.176	25.314	25.205	
245	19.74	25.176	25.314	25.205	
246	19.84	25.176	25.314	25.205	
247	19.94	25.176	25.314	25.205	
248	20.	25.176	25.314	25.205	
249	20.01	25.176	25.314	25.205	
250	20.02	25.176	25.314	25.205	
251	20.05	25.176	25.314	25.205	
252	20.14	25.176	25.314	25.205	
253	20.24	25.176	25.314	25.205	
254	20.34	25.176	25.314	25.205	
255	20.44	25.176	25.314	25.205	
256	20.54	25.176	25.314	25.205	
257	20.64	25.176	25.314	25.205	
258	20.74	25.176	25.314	25.205	
259	20.84	25.176	25.314	25.205	
260	20.94	25.176	25.314	25.205	
261	21.	25.176	25.314	25.205	
262	21.01	25.176	25.314	25.205	
263	21.02	25.176	25.314	25.205	
264	21.05	25.176	25.314	25.205	
265	21.14	25.176	25.314	25.205	
266	21.24	25.176	25.314	25.205	
267	21.34	25.176	25.314	25.205	
268	21.44	25.176	25.314	25.205	
269	21.54	25.176	25.314	25.205	
270	21.64	25.176	25.314	25.205	
271	21.74	25.176	25.314	25.205	
272	21.84	25.176	25.314	25.205	
273	21.94	25.176	25.314	25.205	
274	22.	25.176	25.314	25.205	
275	22.01	25.176	25.314	25.205	
276	22.02	25.176	25.314	25.205	
277	22.05	25.176	25.314	25.205	
278	22.14	25.176	25.314	25.205	
279	22.24	25.176	25.314	25.205	
280	22.34	25.176	25.314	25.205	
281	22.44	25.176	25.314	25.205	
282	22.54	25.176	25.314	25.205	
283	22.64	25.176	25.314	25.205	
284	22.74	25.176	25.314	25.205	
285	22.84	25.177	25.314	25.205	
286	22.94	25.177	25.314	25.205	
287	23.	25.177	25.314	25.205	
288	23.01	25.177	25.314	25.205	
289	23.02	25.177	25.314	25.205	
290	23.05	25.177	25.314	25.205	
291	23.14	25.177	25.314	25.206	
292	23.24	25.177	25.314	25.206	
293	23.34	25.177	25.314	25.206	
294	23.44	25.177	25.314	25.206	
295	23.54	25.177	25.314	25.206	
296	23.64	25.177	25.314	25.206	
297	23.74	25.177	25.314	25.206	
298	23.84	25.177	25.315	25.206	
299	23.94	25.177	25.315	25.206	
300	24.	25.177	25.315	25.206	
301	24.01	25.177	25.315	25.206	
302	24.02	25.177	25.315	25.206	
303	24.05	25.177	25.315	25.206	
304	24.14	25.177	25.315	25.206	
305	24.24	25.177	25.315	25.206	
306	24.34	25.177	25.315	25.206	
307	24.44	25.177	25.315	25.206	
308	24.54	25.177	25.315	25.206	
309	24.64	25.177	25.315	25.206	
310	24.74	25.177	25.315	25.206	
311	24.84	25.177	25.315	25.206	
312	24.94	25.177	25.315	25.206	
313	25.	25.177	25.315	25.206	
314	25.01	25.177	25.315	25.206	
315	25.02	25.177	25.315	25.206	
316	25.05	25.177	25.315	25.206	
317	25.14	25.177	25.315	25.206	
318	25.24	25.177	25.315	25.206	
319	25.34	25.177	25.315	25.206	
320	25.44	25.177	25.315	25.206	
321	25.54	25.177	25.315	25.206	
322	25.64	25.177	25.315	25.206	
323	25.74	25.177	25.315	25.206	
324	25.84	25.177	25.315	25.206	
325	25.94	25.177	25.315	25.206	
326	26.	25.177	25.315	25.206	
327	26.01	25.177	25.315	25.206	
328	26.02	25.177	25.315	25.206	
329	26.05	25.177	25.315	25.206	
330	26.14	25.177	25.315	25.206	
331	26.24	25.177	25.315	25.206	
332	26.34	25.177	25.315	25.206	
333	26.44	25.177	25.315	25.206	
334	26.54	25.177	25.315	25.206	
335	26.64	25.177	25.315	25.206	
336	26.74	25.177	25.315	25.206	
337	26.84	25.177	25.315	25.206	
338	26.94	25.177	25.315	25.206	
339	27.	25.177	25.315	25.206	
340	27.01	25.177	25.315	25.206	
341	27.02	25.177	25.315	25.206	
342	27.05	25.177	25.315	25.206	
343	27.14	25.177	25.315	25.206	
344	27.24	25.177	25.315	25.206	
345	27.34	25.177	25.315	25.206	
346	27.44	25.177	25.315	25.206	
347	27.54	25.178	25.315	25.206	
348	27.64	25.178	25.315	25.206	
349	27.74	25.178	25.315	25.206	
350	27.84	25.178	25.315	25.207	
351	27.94	25.178	25.315	25.207	
352	28.	25.178	25.315	25.207	
353	28.01	25.178	25.315	25.207	
354	28.02	25.178	25.315	25.207	
355	28.05	25.178	25.315	25.207	
356	28.14	25.178	25.315	25.207	
357	28.24	25.178	25.315	25.207	
358	28.34	25.178	25.316	25.207	
359	28.44	25.178	25.316	25.207	
360	28.54	25.178	25.316	25.207	
361	28.64	25.178	25.316	25.207	
362	28.74	25.178	25.316	25.207	
363	28.84	25.178	25.316	25.207	
364	28.94	25.178	25.316	25.207	
365	29.	25.178	25.316	25.207	
366	29.01	25.178	25.316	25.207	
367	29.02	25.178	25.316	25.207	
368	29.05	25.178	25.316	25.207	
369	29.14	25.178	25.316	25.207	
370	29.24	25.178	25.316	25.207	
371	29.34	25.178	25.316	25.207	
372	29.44	25.178	25.316	25.207	
373	29.54	25.178	25.316	25.207	
374	29.64	25.178	25.316	25.207	
375	29.74	25.178	25.316	25.207	
376	29.84	25.178	25.316	25.207	
377	29.94	25.178	25.316	25.207	
378	30.	25.178	25.316	25.207	
379	30.01	25.178	25.316	25.207	
380	30.02	25.178	25.316	25.207	
381	30.05	25.178	25.316	25.207	
382	30.14	25.178	25.316	25.207	
383	30.24	25.178	25.316	25.207	
384	30.34	25.178	25.316	25.207	
385	30.44	25.178	25.316	25.207	
386	30.54	25.178	25.316	25.207	
387	30.64	25.178	25.316	25.207	
388	30.74	25.178	25.316	25.207	
389	30.84	25.178	25.316	25.207	
390	30.94	25.178	25.316	25.207	
391	31.	25.178	25.316	25.207	
392	31.01	25.178	25.316	25.207	
393	31.02	25.178	25.316	25.207	
394	31.05	25.178	25.316	25.207	
395	31.14	25.178	25.316	25.207	
396	31.24	25.178	25.316	25.207	
397	31.34	25.178	25.316	25.207	
398	31.44	25.178	25.316	25.207	
399	31.54	25.178	25.316	25.207	
400	31.64	25.178	25.316	25.207	
401	31.74	25.178	25.316	25.207	
402	31.84	25.178	25.316	25.207	
403	31.94	25.178	25.316	25.207	
404	32.	25.178	25.316	25.207	
405	32.01	25.178	25.316	25.207	
406	32.02	25.178	25.316	25.207	
407	32.05	25.178	25.316	25.207	
408	32.14	25.178	25.316	25.207	
409	32.24	25.178	25.316	25.207	
