	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	27.822	28.602	28.324	
2	1.01	27.814	28.602	28.322	
3	1.02	27.807	28.603	28.32	
4	1.05	27.789	28.605	28.314	
5	1.11	27.763	28.606	28.306	
6	1.21	27.74	28.607	28.299	
7	1.31	27.731	28.608	28.296	
8	1.41	27.73	28.61	28.296	
9	1.51	27.733	28.611	28.299	
10	1.61	27.739	28.613	28.302	
11	1.71	27.746	28.616	28.306	
12	1.81	27.752	28.618	28.31	
13	1.91	27.759	28.621	28.314	
14	2.	27.764	28.623	28.318	
15	2.01	27.765	28.624	28.319	
16	2.02	27.765	28.624	28.319	
17	2.05	27.767	28.625	28.32	
18	2.14	27.772	28.627	28.324	
19	2.24	27.777	28.631	28.328	
20	2.34	27.782	28.634	28.332	
21	2.44	27.786	28.637	28.335	
22	2.54	27.79	28.64	28.339	
23	2.64	27.793	28.643	28.342	
24	2.74	27.796	28.647	28.345	
25	2.84	27.799	28.65	28.348	
26	2.94	27.801	28.653	28.351	
27	3.	27.803	28.655	28.353	
28	3.01	27.803	28.655	28.353	
29	3.02	27.803	28.655	28.353	
30	3.05	27.804	28.656	28.354	
31	3.14	27.805	28.659	28.357	
32	3.24	27.807	28.662	28.359	
33	3.34	27.808	28.665	28.361	
34	3.44	27.809	28.668	28.364	
35	3.54	27.81	28.67	28.366	
36	3.64	27.811	28.673	28.368	
37	3.74	27.811	28.676	28.37	
38	3.84	27.812	28.678	28.372	
39	3.94	27.812	28.681	28.374	
40	4.	27.812	28.683	28.375	
41	4.01	27.812	28.683	28.375	
42	4.02	27.812	28.683	28.375	
43	4.05	27.813	28.684	28.375	
44	4.14	27.813	28.686	28.377	
45	4.24	27.813	28.688	28.379	
46	4.34	27.813	28.691	28.38	
47	4.44	27.813	28.693	28.381	
48	4.54	27.813	28.695	28.383	
49	4.64	27.812	28.697	28.384	
50	4.74	27.812	28.699	28.385	
51	4.84	27.812	28.701	28.387	
52	4.94	27.812	28.703	28.388	
53	5.	27.812	28.704	28.389	
54	5.01	27.812	28.705	28.389	
55	5.02	27.812	28.705	28.389	
56	5.05	27.811	28.705	28.389	
57	5.14	27.811	28.707	28.39	
58	5.24	27.811	28.709	28.391	
59	5.34	27.81	28.711	28.392	
60	5.44	27.81	28.712	28.393	
61	5.54	27.81	28.714	28.394	
62	5.64	27.809	28.715	28.395	
63	5.74	27.809	28.717	28.396	
64	5.84	27.808	28.718	28.397	
65	5.94	27.808	28.72	28.397	
66	6.	27.808	28.721	28.398	
67	6.01	27.808	28.721	28.398	
68	6.02	27.808	28.721	28.398	
69	6.05	27.808	28.721	28.398	
70	6.14	27.807	28.723	28.399	
71	6.24	27.807	28.724	28.4	
72	6.34	27.806	28.725	28.4	
73	6.44	27.806	28.727	28.401	
74	6.54	27.806	28.728	28.402	
75	6.64	27.805	28.729	28.402	
76	6.74	27.805	28.73	28.403	
77	6.84	27.804	28.731	28.403	
78	6.94	27.804	28.732	28.404	
79	7.	27.804	28.733	28.404	
80	7.01	27.804	28.733	28.404	
81	7.02	27.804	28.733	28.404	
82	7.05	27.804	28.733	28.404	
83	7.14	27.803	28.734	28.405	
84	7.24	27.803	28.735	28.405	
85	7.34	27.803	28.736	28.406	
86	7.44	27.802	28.737	28.406	
87	7.54	27.802	28.738	28.407	
88	7.64	27.802	28.739	28.407	
89	7.74	27.801	28.74	28.408	
90	7.84	27.801	28.74	28.408	
91	7.94	27.801	28.741	28.408	
92	8.	27.801	28.742	28.409	
93	8.01	27.801	28.742	28.409	
94	8.02	27.801	28.742	28.409	
95	8.05	27.8	28.742	28.409	
96	8.14	27.8	28.743	28.409	
97	8.24	27.8	28.743	28.41	
98	8.34	27.8	28.744	28.41	
99	8.44	27.799	28.745	28.41	
100	8.54	27.799	28.745	28.411	
101	8.64	27.799	28.746	28.411	
102	8.74	27.799	28.747	28.411	
103	8.84	27.799	28.747	28.412	
104	8.94	27.798	28.748	28.412	
105	9.	27.798	28.748	28.412	
106	9.01	27.798	28.748	28.412	
107	9.02	27.798	28.748	28.412	
108	9.05	27.798	28.748	28.412	
109	9.14	27.798	28.749	28.412	
110	9.24	27.798	28.749	28.413	
111	9.34	27.798	28.75	28.413	
112	9.44	27.798	28.75	28.413	
113	9.54	27.797	28.751	28.413	
114	9.64	27.797	28.751	28.414	
115	9.74	27.797	28.752	28.414	
116	9.84	27.797	28.752	28.414	
117	9.94	27.797	28.752	28.414	
118	10.	27.797	28.753	28.414	
119	10.01	27.797	28.753	28.415	
120	10.02	27.797	28.753	28.415	
121	10.05	27.797	28.753	28.415	
122	10.14	27.797	28.753	28.415	
123	10.24	27.796	28.754	28.415	
124	10.34	27.796	28.754	28.415	
125	10.44	27.796	28.754	28.415	
126	10.54	27.796	28.755	28.416	
127	10.64	27.796	28.755	28.416	
128	10.74	27.796	28.755	28.416	
129	10.84	27.796	28.756	28.416	
130	10.94	27.796	28.756	28.416	
131	11.	27.796	28.756	28.416	
