	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	30.235	30.247	30.239	
2	1.01	30.236	30.247	30.24	
3	1.02	30.237	30.247	30.24	
4	1.05	30.237	30.247	30.24	
5	1.11	30.236	30.247	30.239	
6	1.21	30.235	30.247	30.239	
7	1.31	30.235	30.247	30.238	
8	1.41	30.234	30.247	30.237	
9	1.51	30.233	30.246	30.236	
10	1.61	30.231	30.246	30.235	
11	1.71	30.23	30.246	30.234	
12	1.81	30.229	30.246	30.233	
13	1.91	30.227	30.246	30.232	
14	2.	30.226	30.246	30.231	
15	2.01	30.226	30.246	30.231	
16	2.02	30.226	30.246	30.231	
17	2.05	30.225	30.246	30.231	
18	2.14	30.224	30.246	30.23	
19	2.24	30.222	30.246	30.228	
20	2.34	30.221	30.246	30.227	
21	2.44	30.219	30.246	30.226	
22	2.54	30.218	30.246	30.225	
23	2.64	30.217	30.247	30.224	
24	2.74	30.215	30.247	30.223	
25	2.84	30.214	30.247	30.222	
26	2.94	30.213	30.247	30.221	
27	3.	30.212	30.247	30.221	
28	3.01	30.212	30.247	30.22	
29	3.02	30.212	30.247	30.22	
30	3.05	30.211	30.247	30.22	
31	3.14	30.21	30.247	30.219	
32	3.24	30.209	30.248	30.218	
33	3.34	30.208	30.248	30.218	
34	3.44	30.207	30.248	30.217	
35	3.54	30.206	30.248	30.216	
36	3.64	30.205	30.248	30.215	
37	3.74	30.204	30.249	30.215	
38	3.84	30.204	30.249	30.214	
39	3.94	30.203	30.249	30.214	
40	4.	30.202	30.249	30.213	
41	4.01	30.202	30.249	30.213	
42	4.02	30.202	30.249	30.213	
43	4.05	30.202	30.249	30.213	
44	4.14	30.201	30.249	30.212	
45	4.24	30.201	30.249	30.212	
46	4.34	30.2	30.25	30.211	
47	4.44	30.199	30.25	30.211	
48	4.54	30.199	30.25	30.21	
49	4.64	30.198	30.25	30.21	
50	4.74	30.197	30.25	30.209	
51	4.84	30.197	30.25	30.209	
52	4.94	30.196	30.25	30.209	
53	5.	30.196	30.25	30.208	
54	5.01	30.196	30.25	30.208	
55	5.02	30.196	30.25	30.208	
56	5.05	30.196	30.25	30.208	
57	5.14	30.195	30.251	30.208	
58	5.24	30.195	30.251	30.207	
59	5.34	30.194	30.251	30.207	
60	5.44	30.194	30.251	30.207	
61	5.54	30.193	30.251	30.206	
62	5.64	30.193	30.251	30.206	
63	5.74	30.193	30.251	30.206	
64	5.84	30.192	30.251	30.205	
65	5.94	30.192	30.251	30.205	
66	6.	30.192	30.252	30.205	
67	6.01	30.192	30.252	30.205	
68	6.02	30.191	30.252	30.205	
69	6.05	30.191	30.252	30.205	
70	6.14	30.191	30.252	30.205	
71	6.24	30.191	30.252	30.204	
72	6.34	30.19	30.252	30.204	
73	6.44	30.19	30.252	30.204	
74	6.54	30.19	30.252	30.204	
75	6.64	30.189	30.252	30.203	
76	6.74	30.189	30.252	30.203	
77	6.84	30.189	30.252	30.203	
78	6.94	30.189	30.252	30.203	
79	7.	30.188	30.252	30.203	
80	7.01	30.188	30.252	30.203	
81	7.02	30.188	30.252	30.203	
82	7.05	30.188	30.252	30.203	
83	7.14	30.188	30.252	30.202	
84	7.24	30.188	30.252	30.202	
85	7.34	30.188	30.253	30.202	
86	7.44	30.187	30.253	30.202	
87	7.54	30.187	30.253	30.202	
88	7.64	30.187	30.253	30.201	
89	7.74	30.187	30.253	30.201	
90	7.84	30.186	30.253	30.201	
91	7.94	30.186	30.253	30.201	
92	8.	30.186	30.253	30.201	
93	8.01	30.186	30.253	30.201	
94	8.02	30.186	30.253	30.201	
95	8.05	30.186	30.253	30.201	
96	8.14	30.186	30.253	30.201	
97	8.24	30.186	30.253	30.201	
98	8.34	30.185	30.253	30.2	
99	8.44	30.185	30.253	30.2	
100	8.54	30.185	30.253	30.2	
101	8.64	30.185	30.253	30.2	
102	8.74	30.185	30.253	30.2	
103	8.84	30.184	30.253	30.2	
104	8.94	30.184	30.253	30.2	
105	9.	30.184	30.253	30.199	
106	9.01	30.184	30.253	30.199	
107	9.02	30.184	30.253	30.199	
108	9.05	30.184	30.253	30.199	
109	9.14	30.184	30.253	30.199	
110	9.24	30.184	30.253	30.199	
111	9.34	30.184	30.253	30.199	
112	9.44	30.183	30.253	30.199	
113	9.54	30.183	30.253	30.199	
114	9.64	30.183	30.253	30.199	
115	9.74	30.183	30.253	30.199	
116	9.84	30.183	30.253	30.199	
117	9.94	30.183	30.253	30.198	
118	10.	30.183	30.253	30.198	
119	10.01	30.183	30.253	30.198	
120	10.02	30.183	30.253	30.198	
121	10.05	30.183	30.253	30.198	
122	10.14	30.183	30.253	30.198	
123	10.24	30.182	30.253	30.198	
124	10.34	30.182	30.253	30.198	
125	10.44	30.182	30.253	30.198	
126	10.54	30.182	30.253	30.198	
127	10.64	30.182	30.253	30.198	
128	10.74	30.182	30.253	30.198	
129	10.84	30.182	30.253	30.198	
130	10.94	30.182	30.253	30.197	
131	11.	30.182	30.253	30.197	
132	11.01	30.182	30.253	30.197	
133	11.02	30.182	30.253	30.197	
134	11.05	30.181	30.253	30.197	
135	11.14	30.181	30.253	30.197	
136	11.24	30.181	30.253	30.197	
137	11.34	30.181	30.253	30.197	
138	11.44	30.181	30.253	30.197	
139	11.54	30.181	30.253	30.197	
140	11.64	30.181	30.253	30.197	
141	11.74	30.181	30.253	30.197	
142	11.84	30.181	30.253	30.197	
143	11.94	30.181	30.253	30.197	
144	12.	30.181	30.253	30.197	
145	12.01	30.181	30.253	30.197	
146	12.02	30.181	30.253	30.197	
147	12.05	30.181	30.253	30.197	
148	12.14	30.18	30.253	30.197	
149	12.24	30.18	30.253	30.197	
150	12.34	30.18	30.253	30.196	
151	12.44	30.18	30.253	30.196	
152	12.54	30.18	30.253	30.196	
153	12.64	30.18	30.253	30.196	
154	12.74	30.18	30.253	30.196	
155	12.84	30.18	30.253	30.196	
156	12.94	30.18	30.253	30.196	
157	13.	30.18	30.253	30.196	
158	13.01	30.18	30.253	30.196	
159	13.02	30.18	30.253	30.196	
160	13.05	30.18	30.253	30.196	
161	13.14	30.18	30.253	30.196	
162	13.24	30.18	30.253	30.196	
163	13.34	30.18	30.253	30.196	
164	13.44	30.18	30.253	30.196	
165	13.54	30.179	30.253	30.196	
166	13.64	30.179	30.253	30.196	
167	13.74	30.179	30.253	30.196	
168	13.84	30.179	30.253	30.196	
169	13.94	30.179	30.253	30.196	
170	14.	30.179	30.253	30.196	
171	14.01	30.179	30.253	30.196	
172	14.02	30.179	30.253	30.195	
173	14.05	30.179	30.253	30.195	
174	14.14	30.179	30.253	30.195	
175	14.24	30.179	30.253	30.195	
176	14.34	30.179	30.253	30.195	
177	14.44	30.179	30.253	30.195	
178	14.54	30.179	30.253	30.195	
179	14.64	30.179	30.253	30.195	
180	14.74	30.179	30.253	30.195	
181	14.84	30.179	30.253	30.195	
182	14.94	30.179	30.253	30.195	
183	15.	30.179	30.253	30.195	
184	15.01	30.179	30.253	30.195	
185	15.02	30.179	30.253	30.195	
186	15.05	30.179	30.253	30.195	
187	15.14	30.179	30.253	30.195	
188	15.24	30.179	30.253	30.195	
189	15.34	30.179	30.253	30.195	
190	15.44	30.178	30.253	30.195	
191	15.54	30.178	30.253	30.195	
192	15.64	30.178	30.253	30.195	
193	15.74	30.178	30.253	30.195	
194	15.84	30.178	30.253	30.195	
195	15.94	30.178	30.253	30.195	
196	16.	30.178	30.253	30.195	
197	16.01	30.178	30.253	30.195	
198	16.02	30.178	30.253	30.195	
199	16.05	30.178	30.253	30.195	
200	16.14	30.178	30.253	30.195	
201	16.24	30.178	30.253	30.195	
202	16.34	30.178	30.253	30.195	
203	16.44	30.178	30.253	30.194	
204	16.54	30.178	30.253	30.194	
205	16.64	30.178	30.253	30.194	
206	16.74	30.178	30.253	30.194	
207	16.84	30.178	30.252	30.194	
208	16.94	30.178	30.252	30.194	
209	17.	30.178	30.252	30.194	
210	17.01	30.178	30.252	30.194	
211	17.02	30.178	30.252	30.194	
212	17.05	30.178	30.252	30.194	
213	17.14	30.178	30.252	30.194	
214	17.24	30.178	30.252	30.194	
215	17.34	30.178	30.252	30.194	
216	17.44	30.178	30.252	30.194	
217	17.54	30.178	30.252	30.194	
218	17.64	30.178	30.252	30.194	
219	17.74	30.178	30.252	30.194	
220	17.84	30.178	30.252	30.194	
221	17.94	30.177	30.252	30.194	
222	18.	30.177	30.252	30.194	
223	18.01	30.177	30.252	30.194	
224	18.02	30.177	30.252	30.194	
225	18.05	30.177	30.252	30.194	
226	18.14	30.177	30.252	30.194	
227	18.24	30.177	30.252	30.194	
228	18.34	30.177	30.252	30.194	
229	18.44	30.177	30.252	30.194	
230	18.54	30.177	30.252	30.194	
231	18.64	30.177	30.252	30.194	
232	18.74	30.177	30.252	30.194	
233	18.84	30.177	30.252	30.194	
234	18.94	30.177	30.252	30.194	
235	19.	30.177	30.252	30.194	
236	19.01	30.177	30.252	30.194	
237	19.02	30.177	30.252	30.194	
238	19.05	30.177	30.252	30.194	
239	19.14	30.177	30.252	30.194	
240	19.24	30.177	30.252	30.194	
241	19.34	30.177	30.252	30.194	
242	19.44	30.177	30.252	30.194	
243	19.54	30.177	30.252	30.194	
244	19.64	30.177	30.252	30.193	
245	19.74	30.177	30.252	30.193	
246	19.84	30.177	30.252	30.193	
247	19.94	30.177	30.252	30.193	
248	20.	30.177	30.252	30.193	
249	20.01	30.177	30.252	30.193	
250	20.02	30.177	30.252	30.193	
251	20.05	30.177	30.252	30.193	
252	20.14	30.177	30.252	30.193	
253	20.24	30.177	30.252	30.193	
254	20.34	30.177	30.252	30.193	
255	20.44	30.177	30.252	30.193	
256	20.54	30.177	30.252	30.193	
257	20.64	30.177	30.252	30.193	
258	20.74	30.177	30.252	30.193	
259	20.84	30.177	30.252	30.193	
260	20.94	30.177	30.252	30.193	
261	21.	30.177	30.251	30.193	
262	21.01	30.177	30.251	30.193	
263	21.02	30.177	30.251	30.193	
264	21.05	30.177	30.251	30.193	
265	21.14	30.177	30.251	30.193	
266	21.24	30.177	30.251	30.193	
267	21.34	30.177	30.251	30.193	
268	21.44	30.177	30.251	30.193	
269	21.54	30.176	30.251	30.193	
270	21.64	30.176	30.251	30.193	
271	21.74	30.176	30.251	30.193	
272	21.84	30.176	30.251	30.193	
273	21.94	30.176	30.251	30.193	
274	22.	30.176	30.251	30.193	
275	22.01	30.176	30.251	30.193	
276	22.02	30.176	30.251	30.193	
277	22.05	30.176	30.251	30.193	
278	22.14	30.176	30.251	30.193	
279	22.24	30.176	30.251	30.193	
280	22.34	30.176	30.251	30.193	
281	22.44	30.176	30.251	30.193	
282	22.54	30.176	30.251	30.193	
283	22.64	30.176	30.251	30.193	
284	22.74	30.176	30.251	30.193	
285	22.84	30.176	30.251	30.193	
286	22.94	30.176	30.251	30.193	
287	23.	30.176	30.251	30.193	
288	23.01	30.176	30.251	30.193	
289	23.02	30.176	30.251	30.193	
290	23.05	30.176	30.251	30.193	
291	23.14	30.176	30.251	30.193	
292	23.24	30.176	30.251	30.193	
293	23.34	30.176	30.251	30.193	
294	23.44	30.176	30.251	30.193	
295	23.54	30.176	30.251	30.193	
296	23.64	30.176	30.251	30.193	
297	23.74	30.176	30.251	30.193	
298	23.84	30.176	30.251	30.193	
299	23.94	30.176	30.251	30.192	
300	24.	30.176	30.251	30.192	
301	24.01	30.176	30.251	30.192	
302	24.02	30.176	30.251	30.192	
303	24.05	30.176	30.251	30.192	
304	24.14	30.176	30.251	30.192	
305	24.24	30.176	30.251	30.192	
306	24.34	30.176	30.251	30.192	
307	24.44	30.176	30.251	30.192	
308	24.54	30.176	30.251	30.192	
309	24.64	30.176	30.251	30.192	
310	24.74	30.176	30.251	30.192	
311	24.84	30.176	30.251	30.192	
312	24.94	30.176	30.251	30.192	
313	25.	30.176	30.251	30.192	
314	25.01	30.176	30.251	30.192	
315	25.02	30.176	30.251	30.192	
316	25.05	30.176	30.251	30.192	
317	25.14	30.176	30.251	30.192	
318	25.24	30.176	30.251	30.192	
319	25.34	30.176	30.251	30.192	
320	25.44	30.176	30.251	30.192	
321	25.54	30.176	30.251	30.192	
322	25.64	30.176	30.251	30.192	
323	25.74	30.176	30.251	30.192	
324	25.84	30.176	30.251	30.192	
325	25.94	30.176	30.25	30.192	
326	26.	30.176	30.25	30.192	
327	26.01	30.176	30.25	30.192	
328	26.02	30.176	30.25	30.192	
329	26.05	30.176	30.25	30.192	
330	26.14	30.176	30.25	30.192	
331	26.24	30.176	30.25	30.192	
332	26.34	30.176	30.25	30.192	
333	26.44	30.176	30.25	30.192	
334	26.54	30.176	30.25	30.192	
335	26.64	30.176	30.25	30.192	
336	26.74	30.176	30.25	30.192	
337	26.84	30.175	30.25	30.192	
338	26.94	30.175	30.25	30.192	
339	27.	30.175	30.25	30.192	
340	27.01	30.175	30.25	30.192	
341	27.02	30.175	30.25	30.192	
342	27.05	30.175	30.25	30.192	
343	27.14	30.175	30.25	30.192	
344	27.24	30.175	30.25	30.192	
345	27.34	30.175	30.25	30.192	
346	27.44	30.175	30.25	30.192	
347	27.54	30.175	30.25	30.192	
348	27.64	30.175	30.25	30.192	
349	27.74	30.175	30.25	30.192	
350	27.84	30.175	30.25	30.192	
351	27.94	30.175	30.25	30.192	
352	28.	30.175	30.25	30.192	
353	28.01	30.175	30.25	30.192	
354	28.02	30.175	30.25	30.192	
355	28.05	30.175	30.25	30.192	
356	28.14	30.175	30.25	30.192	
357	28.24	30.175	30.25	30.192	
358	28.34	30.175	30.25	30.192	
359	28.44	30.175	30.25	30.192	
360	28.54	30.175	30.25	30.192	
361	28.64	30.175	30.25	30.192	
362	28.74	30.175	30.25	30.192	
363	28.84	30.175	30.25	30.192	
364	28.94	30.175	30.25	30.192	
365	29.	30.175	30.25	30.192	
366	29.01	30.175	30.25	30.192	
367	29.02	30.175	30.25	30.192	
368	29.05	30.175	30.25	30.192	
369	29.14	30.175	30.25	30.192	
370	29.24	30.175	30.25	30.192	
371	29.34	30.175	30.25	30.192	
372	29.44	30.175	30.25	30.192	
373	29.54	30.175	30.25	30.192	
374	29.64	30.175	30.25	30.192	
375	29.74	30.175	30.25	30.192	
376	29.84	30.175	30.25	30.192	
377	29.94	30.175	30.25	30.192	
378	30.	30.175	30.25	30.192	
379	30.01	30.175	30.25	30.192	
380	30.02	30.175	30.25	30.192	
381	30.05	30.175	30.25	30.192	
382	30.14	30.175	30.25	30.192	
383	30.24	30.175	30.25	30.192	
384	30.34	30.175	30.25	30.192	
385	30.44	30.175	30.25	30.192	
386	30.54	30.175	30.25	30.192	
387	30.64	30.175	30.25	30.192	
388	30.74	30.175	30.25	30.192	
389	30.84	30.175	30.25	30.191	
390	30.94	30.175	30.25	30.191	
391	31.	30.175	30.25	30.191	
392	31.01	30.175	30.25	30.191	
393	31.02	30.175	30.25	30.191	
394	31.05	30.175	30.25	30.191	
395	31.14	30.175	30.25	30.191	
396	31.24	30.175	30.25	30.191	
397	31.34	30.175	30.25	30.191	
398	31.44	30.175	30.25	30.191	
399	31.54	30.175	30.25	30.191	
400	31.64	30.175	30.25	30.191	
401	31.74	30.175	30.25	30.191	
402	31.84	30.175	30.25	30.191	
403	31.94	30.175	30.25	30.191	
404	32.	30.175	30.25	30.191	
405	32.01	30.175	30.25	30.191	
406	32.02	30.175	30.25	30.191	
407	32.05	30.175	30.25	30.191	
408	32.14	30.175	30.25	30.191	
409	32.24	30.175	30.25	30.191	
410	32.34	30.175	30.25	30.191	
411	32.44	30.175	30.25	30.191	
412	32.54	30.175	30.25	30.191	
413	32.64	30.175	30.25	30.191	
414	32.74	30.175	30.25	30.191	
415	32.84	30.175	30.25	30.191	
416	32.94	30.175	30.25	30.191	
417	33.	30.175	30.25	30.191	
418	33.01	30.175	30.25	30.191	
419	33.02	30.175	30.25	30.191	
420	33.05	30.175	30.25	30.191	
421	33.14	30.175	30.25	30.191	
422	33.24	30.175	30.25	30.191	
423	33.34	30.175	30.25	30.191	
424	33.44	30.175	30.249	30.191	
425	33.54	30.175	30.249	30.191	
426	33.64	30.175	30.249	30.191	
427	33.74	30.175	30.249	30.191	
428	33.84	30.175	30.249	30.191	
429	33.94	30.175	30.249	30.191	
430	34.	30.175	30.249	30.191	
431	34.01	30.175	30.249	30.191	
432	34.02	30.175	30.249	30.191	
433	34.05	30.175	30.249	30.191	
434	34.14	30.175	30.249	30.191	
435	34.24	30.175	30.249	30.191	
436	34.34	30.175	30.249	30.191	
437	34.44	30.175	30.249	30.191	
438	34.54	30.175	30.249	30.191	
439	34.64	30.175	30.249	30.191	
440	34.74	30.175	30.249	30.191	
441	34.84	30.175	30.249	30.191	
442	34.94	30.175	30.249	30.191	
443	35.	30.175	30.249	30.191	
444	35.01	30.175	30.249	30.191	
445	35.02	30.175	30.249	30.191	
446	35.05	30.175	30.249	30.191	
447	35.14	30.175	30.249	30.191	
448	35.24	30.175	30.249	30.191	
449	35.34	30.175	30.249	30.191	
450	35.44	30.175	30.249	30.191	
451	35.54	30.175	30.249	30.191	
452	35.64	30.175	30.249	30.191	
453	35.74	30.175	30.249	30.191	
454	35.84	30.175	30.249	30.191	
455	35.94	30.175	30.249	30.191	
456	36.	30.175	30.249	30.191	
457	36.01	30.175	30.249	30.191	
458	36.02	30.175	30.249	30.191	
459	36.05	30.175	30.249	30.191	
460	36.14	30.175	30.249	30.191	
461	36.24	30.175	30.249	30.191	
462	36.34	30.175	30.249	30.191	
463	36.44	30.175	30.249	30.191	
464	36.54	30.175	30.249	30.191	
465	36.64	30.175	30.249	30.191	
466	36.74	30.175	30.249	30.191	
467	36.84	30.175	30.249	30.191	
468	36.94	30.175	30.249	30.191	
469	37.	30.175	30.249	30.191	
470	37.01	30.175	30.249	30.191	
471	37.02	30.175	30.249	30.191	
472	37.05	30.175	30.249	30.191	
473	37.14	30.175	30.249	30.191	
474	37.24	30.175	30.249	30.191	
475	37.34	30.175	30.249	30.191	
476	37.44	30.175	30.249	30.191	
477	37.54	30.175	30.249	30.191	
478	37.64	30.175	30.249	30.191	
479	37.74	30.175	30.249	30.191	
480	37.84	30.175	30.249	30.191	
481	37.94	30.175	30.249	30.191	
482	38.	30.175	30.249	30.191	
483	38.01	30.175	30.249	30.191	
484	38.02	30.175	30.249	30.191	
485	38.05	30.175	30.249	30.191	
486	38.14	30.175	30.249	30.191	
487	38.24	30.175	30.249	30.191	
488	38.34	30.175	30.249	30.191	
489	38.44	30.175	30.249	30.191	
490	38.54	30.175	30.249	30.191	
491	38.64	30.175	30.249	30.191	
492	38.74	30.175	30.249	30.191	
493	38.84	30.175	30.249	30.191	
494	38.94	30.175	30.249	30.191	
495	39.	30.175	30.249	30.191	
496	39.01	30.175	30.249	30.191	
497	39.02	30.175	30.249	30.191	
498	39.05	30.175	30.249	30.191	
499	39.14	30.175	30.249	30.191	
500	39.24	30.175	30.249	30.191	
501	39.34	30.175	30.249	30.191	
502	39.44	30.175	30.249	30.191	
503	39.54	30.175	30.249	30.191	
504	39.64	30.175	30.249	30.191	
505	39.74	30.175	30.249	30.191	
506	39.84	30.175	30.249	30.191	
507	39.94	30.175	30.249	30.191	
508	40.	30.175	30.249	30.191	
509	40.01	30.175	30.249	30.191	
510	40.02	30.175	30.249	30.191	
511	40.05	30.175	30.249	30.191	
512	40.14	30.175	30.249	30.191	
513	40.24	30.175	30.249	30.191	
514	40.34	30.175	30.249	30.191	
515	40.44	30.175	30.249	30.191	
516	40.54	30.175	30.249	30.191	
517	40.64	30.175	30.249	30.191	
518	40.74	30.175	30.249	30.191	
519	40.84	30.175	30.249	30.191	
520	40.94	30.175	30.249	30.191	
521	41.	30.175	30.249	30.191	
522	41.01	30.175	30.249	30.191	
523	41.02	30.175	30.249	30.191	
524	41.05	30.175	30.249	30.191	
525	41.14	30.175	30.249	30.191	
526	41.24	30.175	30.249	30.191	
527	41.34	30.175	30.249	30.191	
528	41.44	30.175	30.249	30.191	
529	41.54	30.175	30.249	30.191	
530	41.64	30.175	30.249	30.191	
531	41.74	30.175	30.249	30.191	
532	41.84	30.175	30.249	30.191	
533	41.94	30.175	30.249	30.191	
534	42.	30.175	30.249	30.191	
535	42.01	30.175	30.249	30.191	
536	42.02	30.175	30.249	30.191	
537	42.05	30.175	30.249	30.191	
538	42.14	30.175	30.249	30.191	
539	42.24	30.175	30.249	30.191	
540	42.34	30.175	30.249	30.191	
541	42.44	30.175	30.249	30.191	
542	42.54	30.175	30.249	30.191	
543	42.64	30.175	30.249	30.191	
544	42.74	30.175	30.249	30.191	
545	42.84	30.175	30.249	30.191	
546	42.94	30.175	30.249	30.191	
547	43.	30.175	30.249	30.191	
548	43.01	30.175	30.249	30.191	
549	43.02	30.175	30.249	30.191	
550	43.05	30.175	30.249	30.191	
551	43.14	30.175	30.249	30.191	
552	43.24	30.175	30.249	30.191	
553	43.34	30.175	30.249	30.191	
554	43.44	30.175	30.249	30.191	
555	43.54	30.175	30.249	30.191	
556	43.64	30.175	30.249	30.191	
557	43.74	30.175	30.249	30.191	
558	43.84	30.175	30.249	30.191	
559	43.94	30.175	30.249	30.191	
560	44.	30.175	30.249	30.191	
561	44.01	30.175	30.249	30.191	
562	44.02	30.175	30.249	30.191	
563	44.05	30.175	30.249	30.191	
564	44.14	30.175	30.249	30.191	
565	44.24	30.175	30.249	30.191	
566	44.34	30.175	30.249	30.191	
567	44.44	30.175	30.249	30.191	
568	44.54	30.175	30.249	30.191	
569	44.64	30.175	30.249	30.191	
570	44.74	30.175	30.249	30.191	
571	44.84	30.175	30.249	30.191	
572	44.94	30.175	30.249	30.191	
573	45.	30.175	30.249	30.191	
574	45.01	30.175	30.249	30.191	
575	45.02	30.175	30.249	30.191	
576	45.05	30.175	30.249	30.191	
