	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	32.513	32.523	32.519	
2	1.01	32.515	32.525	32.521	
3	1.02	32.516	32.526	32.522	
4	1.05	32.516	32.526	32.522	
5	1.11	32.515	32.526	32.522	
6	1.21	32.514	32.526	32.521	
7	1.31	32.513	32.525	32.521	
8	1.41	32.511	32.525	32.52	
9	1.51	32.51	32.525	32.519	
10	1.61	32.508	32.525	32.519	
11	1.71	32.507	32.525	32.518	
12	1.81	32.505	32.525	32.518	
13	1.91	32.503	32.525	32.517	
14	2.	32.501	32.525	32.516	
15	2.01	32.501	32.525	32.516	
16	2.02	32.501	32.525	32.516	
17	2.05	32.5	32.525	32.516	
18	2.14	32.498	32.525	32.516	
19	2.24	32.496	32.525	32.515	
20	2.34	32.494	32.526	32.515	
21	2.44	32.492	32.526	32.514	
22	2.54	32.491	32.526	32.514	
23	2.64	32.489	32.526	32.513	
24	2.74	32.487	32.527	32.513	
25	2.84	32.485	32.527	32.512	
26	2.94	32.484	32.527	32.512	
27	3.	32.483	32.527	32.511	
28	3.01	32.483	32.527	32.511	
29	3.02	32.482	32.527	32.511	
30	3.05	32.482	32.527	32.511	
31	3.14	32.481	32.528	32.511	
32	3.24	32.479	32.528	32.511	
33	3.34	32.478	32.528	32.51	
34	3.44	32.476	32.528	32.51	
35	3.54	32.475	32.528	32.509	
36	3.64	32.474	32.529	32.509	
37	3.74	32.473	32.529	32.509	
38	3.84	32.472	32.529	32.509	
39	3.94	32.471	32.529	32.508	
40	4.	32.47	32.529	32.508	
41	4.01	32.47	32.529	32.508	
42	4.02	32.47	32.529	32.508	
43	4.05	32.469	32.529	32.508	
44	4.14	32.469	32.529	32.508	
45	4.24	32.468	32.529	32.507	
46	4.34	32.467	32.529	32.507	
47	4.44	32.466	32.53	32.507	
48	4.54	32.465	32.53	32.507	
49	4.64	32.464	32.53	32.506	
50	4.74	32.463	32.53	32.506	
51	4.84	32.463	32.53	32.506	
52	4.94	32.462	32.53	32.506	
53	5.	32.462	32.53	32.506	
54	5.01	32.461	32.53	32.506	
55	5.02	32.461	32.53	32.506	
56	5.05	32.461	32.53	32.506	
57	5.14	32.461	32.53	32.505	
58	5.24	32.46	32.53	32.505	
59	5.34	32.459	32.53	32.505	
60	5.44	32.459	32.53	32.505	
61	5.54	32.458	32.53	32.505	
62	5.64	32.458	32.53	32.505	
63	5.74	32.457	32.531	32.504	
64	5.84	32.457	32.531	32.504	
65	5.94	32.456	32.531	32.504	
66	6.	32.456	32.531	32.504	
67	6.01	32.456	32.531	32.504	
68	6.02	32.456	32.531	32.504	
69	6.05	32.456	32.531	32.504	
70	6.14	32.455	32.531	32.504	
71	6.24	32.455	32.531	32.504	
72	6.34	32.454	32.531	32.504	
73	6.44	32.454	32.531	32.503	
74	6.54	32.453	32.531	32.503	
75	6.64	32.453	32.531	32.503	
76	6.74	32.453	32.531	32.503	
77	6.84	32.452	32.531	32.503	
78	6.94	32.452	32.531	32.503	
79	7.	32.452	32.531	32.503	
80	7.01	32.452	32.531	32.503	
81	7.02	32.452	32.531	32.503	
82	7.05	32.451	32.531	32.503	
83	7.14	32.451	32.531	32.503	
84	7.24	32.451	32.531	32.502	
85	7.34	32.45	32.531	32.502	
86	7.44	32.45	32.531	32.502	
87	7.54	32.45	32.531	32.502	
88	7.64	32.449	32.531	32.502	
89	7.74	32.449	32.531	32.502	
90	7.84	32.449	32.531	32.502	
91	7.94	32.449	32.531	32.502	
92	8.	32.448	32.531	32.502	
93	8.01	32.448	32.531	32.502	
94	8.02	32.448	32.531	32.502	
95	8.05	32.448	32.531	32.502	
96	8.14	32.448	32.531	32.502	
97	8.24	32.448	32.531	32.501	
98	8.34	32.447	32.531	32.501	
99	8.44	32.447	32.531	32.501	
100	8.54	32.447	32.531	32.501	
101	8.64	32.447	32.531	32.501	
102	8.74	32.446	32.531	32.501	
103	8.84	32.446	32.531	32.501	
104	8.94	32.446	32.531	32.501	
105	9.	32.446	32.531	32.501	
106	9.01	32.446	32.531	32.501	
107	9.02	32.446	32.531	32.501	
108	9.05	32.446	32.531	32.501	
109	9.14	32.445	32.531	32.501	
110	9.24	32.445	32.531	32.5	
111	9.34	32.445	32.531	32.5	
112	9.44	32.445	32.531	32.5	
113	9.54	32.445	32.531	32.5	
114	9.64	32.444	32.531	32.5	
115	9.74	32.444	32.531	32.5	
116	9.84	32.444	32.531	32.5	
117	9.94	32.444	32.531	32.5	
118	10.	32.444	32.531	32.5	
119	10.01	32.444	32.531	32.5	
120	10.02	32.444	32.531	32.5	
121	10.05	32.443	32.531	32.5	
122	10.14	32.443	32.531	32.5	
123	10.24	32.443	32.531	32.5	
124	10.34	32.443	32.531	32.499	
125	10.44	32.443	32.531	32.499	
126	10.54	32.443	32.531	32.499	
127	10.64	32.442	32.531	32.499	
128	10.74	32.442	32.531	32.499	
129	10.84	32.442	32.53	32.499	
130	10.94	32.442	32.53	32.499	
131	11.	32.442	32.53	32.499	
132	11.01	32.442	32.53	32.499	
133	11.02	32.442	32.53	32.499	
