	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	25.87	26.777	26.339	
2	1.01	25.867	26.803	26.341	
3	1.02	25.866	26.823	26.341	
4	1.05	25.863	26.851	26.343	
5	1.11	25.859	26.878	26.346	
6	1.21	25.854	26.907	26.349	
7	1.31	25.851	26.932	26.351	
8	1.41	25.848	26.954	26.352	
9	1.51	25.846	26.973	26.353	
10	1.61	25.844	26.989	26.354	
11	1.71	25.843	27.002	26.355	
12	1.81	25.842	27.014	26.355	
13	1.91	25.841	27.024	26.356	
14	2.	25.84	27.032	26.356	
15	2.01	25.84	27.032	26.356	
16	2.02	25.839	27.033	26.356	
17	2.05	25.839	27.036	26.356	
18	2.14	25.838	27.042	26.357	
19	2.24	25.838	27.048	26.357	
20	2.34	25.837	27.053	26.357	
21	2.44	25.836	27.058	26.357	
22	2.54	25.836	27.063	26.358	
23	2.64	25.835	27.067	26.358	
24	2.74	25.834	27.071	26.358	
25	2.84	25.834	27.074	26.358	
26	2.94	25.834	27.077	26.358	
27	3.	25.833	27.079	26.358	
28	3.01	25.833	27.079	26.358	
29	3.02	25.833	27.08	26.358	
30	3.05	25.833	27.081	26.358	
31	3.14	25.833	27.083	26.358	
32	3.24	25.832	27.086	26.358	
33	3.34	25.832	27.088	26.358	
34	3.44	25.832	27.091	26.358	
35	3.54	25.832	27.093	26.358	
36	3.64	25.831	27.095	26.358	
37	3.74	25.831	27.098	26.359	
38	3.84	25.831	27.1	26.358	
39	3.94	25.831	27.102	26.358	
40	4.	25.831	27.103	26.358	
41	4.01	25.831	27.103	26.358	
42	4.02	25.831	27.103	26.358	
43	4.05	25.831	27.104	26.358	
44	4.14	25.83	27.105	26.358	
45	4.24	25.83	27.107	26.358	
46	4.34	25.83	27.109	26.358	
47	4.44	25.83	27.11	26.358	
48	4.54	25.83	27.112	26.358	
49	4.64	25.83	27.113	26.358	
50	4.74	25.83	27.115	26.358	
51	4.84	25.83	27.116	26.358	
52	4.94	25.83	27.118	26.358	
53	5.	25.83	27.118	26.358	
54	5.01	25.83	27.119	26.358	
55	5.02	25.83	27.119	26.358	
56	5.05	25.83	27.119	26.358	
57	5.14	25.83	27.12	26.358	
58	5.24	25.83	27.121	26.358	
59	5.34	25.83	27.122	26.358	
60	5.44	25.83	27.124	26.358	
61	5.54	25.83	27.125	26.358	
62	5.64	25.83	27.126	26.357	
63	5.74	25.83	27.127	26.357	
64	5.84	25.83	27.127	26.357	
65	5.94	25.83	27.128	26.357	
66	6.	25.83	27.129	26.357	
67	6.01	25.83	27.129	26.357	
68	6.02	25.83	27.129	26.357	
69	6.05	25.83	27.129	26.357	
70	6.14	25.83	27.13	26.357	
71	6.24	25.83	27.131	26.357	
72	6.34	25.83	27.132	26.357	
73	6.44	25.83	27.132	26.357	
74	6.54	25.83	27.133	26.357	
75	6.64	25.83	27.134	26.357	
76	6.74	25.83	27.134	26.356	
77	6.84	25.83	27.135	26.356	
78	6.94	25.83	27.136	26.356	
79	7.	25.83	27.136	26.356	
80	7.01	25.83	27.136	26.356	
81	7.02	25.83	27.136	26.356	
82	7.05	25.83	27.136	26.356	
83	7.14	25.83	27.137	26.356	
84	7.24	25.83	27.137	26.356	
85	7.34	25.83	27.138	26.356	
86	7.44	25.83	27.138	26.356	
87	7.54	25.83	27.139	26.356	
88	7.64	25.83	27.139	26.356	
89	7.74	25.83	27.14	26.355	
90	7.84	25.83	27.14	26.355	
91	7.94	25.83	27.141	26.355	
92	8.	25.83	27.141	26.355	
93	8.01	25.83	27.141	26.355	
94	8.02	25.83	27.141	26.355	
95	8.05	25.83	27.141	26.355	
96	8.14	25.83	27.141	26.355	
97	8.24	25.83	27.142	26.355	
98	8.34	25.83	27.142	26.355	
99	8.44	25.83	27.142	26.355	
100	8.54	25.831	27.143	26.355	
101	8.64	25.831	27.143	26.354	
102	8.74	25.831	27.143	26.354	
