	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	26.126	28.336	27.348	
2	1.01	26.123	28.337	27.348	
3	1.02	26.119	28.337	27.348	
4	1.05	26.111	28.337	27.347	
5	1.11	26.1	28.337	27.345	
6	1.21	26.089	28.337	27.342	
7	1.31	26.085	28.337	27.341	
8	1.41	26.084	28.337	27.34	
9	1.51	26.085	28.337	27.34	
10	1.61	26.087	28.336	27.34	
11	1.71	26.09	28.336	27.34	
12	1.81	26.093	28.337	27.34	
13	1.91	26.096	28.337	27.341	
14	2.	26.098	28.337	27.341	
15	2.01	26.098	28.337	27.341	
16	2.02	26.099	28.337	27.341	
17	2.05	26.099	28.337	27.341	
18	2.14	26.101	28.337	27.342	
19	2.24	26.104	28.337	27.342	
20	2.34	26.106	28.337	27.343	
21	2.44	26.107	28.337	27.343	
22	2.54	26.109	28.337	27.344	
23	2.64	26.11	28.338	27.344	
24	2.74	26.111	28.338	27.345	
25	2.84	26.112	28.338	27.345	
26	2.94	26.113	28.338	27.346	
27	3.	26.114	28.338	27.346	
28	3.01	26.114	28.338	27.346	
29	3.02	26.114	28.338	27.346	
30	3.05	26.114	28.338	27.346	
31	3.14	26.114	28.338	27.347	
32	3.24	26.115	28.338	27.347	
33	3.34	26.115	28.339	27.348	
34	3.44	26.116	28.339	27.348	
35	3.54	26.116	28.339	27.349	
36	3.64	26.116	28.339	27.349	
37	3.74	26.116	28.339	27.349	
38	3.84	26.116	28.339	27.35	
39	3.94	26.116	28.339	27.35	
40	4.	26.116	28.339	27.351	
41	4.01	26.116	28.339	27.351	
42	4.02	26.116	28.339	27.351	
43	4.05	26.116	28.339	27.351	
44	4.14	26.116	28.34	27.351	
45	4.24	26.116	28.34	27.351	
46	4.34	26.116	28.34	27.352	
47	4.44	26.116	28.34	27.352	
48	4.54	26.116	28.34	27.352	
49	4.64	26.116	28.34	27.353	
50	4.74	26.116	28.34	27.353	
51	4.84	26.115	28.34	27.353	
52	4.94	26.115	28.34	27.354	
53	5.	26.115	28.34	27.354	
54	5.01	26.115	28.34	27.354	
55	5.02	26.115	28.34	27.354	
56	5.05	26.115	28.34	27.354	
57	5.14	26.115	28.34	27.354	
58	5.24	26.115	28.341	27.354	
59	5.34	26.114	28.341	27.355	
60	5.44	26.114	28.341	27.355	
61	5.54	26.114	28.341	27.355	
62	5.64	26.114	28.341	27.355	
63	5.74	26.114	28.341	27.356	
64	5.84	26.113	28.341	27.356	
65	5.94	26.113	28.341	27.356	
66	6.	26.113	28.341	27.356	
67	6.01	26.113	28.341	27.356	
68	6.02	26.113	28.341	27.356	
69	6.05	26.113	28.341	27.356	
70	6.14	26.113	28.341	27.356	
71	6.24	26.112	28.341	27.357	
72	6.34	26.112	28.341	27.357	
73	6.44	26.112	28.341	27.357	
74	6.54	26.112	28.341	27.357	
75	6.64	26.112	28.342	27.357	
76	6.74	26.111	28.342	27.357	
77	6.84	26.111	28.342	27.358	
78	6.94	26.111	28.342	27.358	
79	7.	26.111	28.342	27.358	
80	7.01	26.111	28.342	27.358	
81	7.02	26.111	28.342	27.358	
82	7.05	26.111	28.342	27.358	
83	7.14	26.111	28.342	27.358	
84	7.24	26.11	28.342	27.358	
85	7.34	26.11	28.342	27.358	
86	7.44	26.11	28.342	27.358	
87	7.54	26.11	28.342	27.358	
88	7.64	26.11	28.342	27.359	
89	7.74	26.11	28.342	27.359	
90	7.84	26.109	28.342	27.359	
91	7.94	26.109	28.342	27.359	
92	8.	26.109	28.342	27.359	
93	8.01	26.109	28.342	27.359	
94	8.02	26.109	28.342	27.359	
95	8.05	26.109	28.342	27.359	
96	8.14	26.109	28.342	27.359	
97	8.24	26.109	28.342	27.359	
98	8.34	26.109	28.342	27.359	
99	8.44	26.109	28.343	27.359	
100	8.54	26.109	28.343	27.36	
101	8.64	26.108	28.343	27.36	
102	8.74	26.108	28.343	27.36	
103	8.84	26.108	28.343	27.36	
104	8.94	26.108	28.343	27.36	
105	9.	26.108	28.343	27.36	
106	9.01	26.108	28.343	27.36	
107	9.02	26.108	28.343	27.36	
108	9.05	26.108	28.343	27.36	
109	9.14	26.108	28.343	27.36	
110	9.24	26.108	28.343	27.36	
111	9.34	26.108	28.343	27.36	
112	9.44	26.108	28.343	27.36	
113	9.54	26.108	28.343	27.36	
114	9.64	26.108	28.343	27.36	
115	9.74	26.108	28.343	27.36	
116	9.84	26.107	28.343	27.361	
117	9.94	26.107	28.343	27.361	
118	10.	26.107	28.343	27.361	
119	10.01	26.107	28.343	27.361	
120	10.02	26.107	28.343	27.361	
121	10.05	26.107	28.343	27.361	
122	10.14	26.107	28.343	27.361	
123	10.24	26.107	28.343	27.361	
124	10.34	26.107	28.343	27.361	
125	10.44	26.107	28.343	27.361	
126	10.54	26.107	28.343	27.361	
127	10.64	26.107	28.343	27.361	
128	10.74	26.107	28.343	27.361	
129	10.84	26.107	28.343	27.361	
130	10.94	26.107	28.343	27.361	
131	11.	26.107	28.343	27.361	
132	11.01	26.107	28.343	27.361	
133	11.02	26.107	28.343	27.361	
134	11.05	26.107	28.343	27.361	
135	11.14	26.107	28.343	27.361	
136	11.24	26.107	28.343	27.361	
137	11.34	26.107	28.343	27.361	
138	11.44	26.107	28.343	27.361	
139	11.54	26.107	28.343	27.361	
140	11.64	26.107	28.343	27.362	
141	11.74	26.107	28.343	27.362	
142	11.84	26.107	28.344	27.362	
143	11.94	26.107	28.344	27.362	
144	12.	26.107	28.344	27.362	
145	12.01	26.107	28.344	27.362	
146	12.02	26.107	28.344	27.362	
147	12.05	26.107	28.344	27.362	
148	12.14	26.107	28.344	27.362	
149	12.24	26.107	28.344	27.362	
150	12.34	26.107	28.344	27.362	
151	12.44	26.107	28.344	27.362	
152	12.54	26.107	28.344	27.362	
153	12.64	26.107	28.344	27.362	
154	12.74	26.107	28.344	27.362	
155	12.84	26.107	28.344	27.362	
156	12.94	26.107	28.344	27.362	
157	13.	26.107	28.344	27.362	
158	13.01	26.107	28.344	27.362	
159	13.02	26.107	28.344	27.362	
160	13.05	26.107	28.344	27.362	
