	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	28.372	28.421	28.403	
2	1.01	28.372	28.421	28.403	
3	1.02	28.372	28.421	28.403	
4	1.05	28.372	28.422	28.403	
5	1.11	28.372	28.422	28.404	
6	1.21	28.372	28.423	28.404	
7	1.31	28.372	28.424	28.405	
8	1.41	28.372	28.425	28.406	
9	1.51	28.372	28.425	28.406	
10	1.61	28.372	28.426	28.407	
11	1.71	28.372	28.427	28.407	
12	1.81	28.372	28.427	28.408	
13	1.91	28.372	28.428	28.408	
14	2.	28.372	28.428	28.408	
15	2.01	28.372	28.429	28.408	
16	2.02	28.372	28.429	28.408	
17	2.05	28.372	28.429	28.409	
18	2.14	28.372	28.429	28.409	
19	2.24	28.372	28.43	28.409	
20	2.34	28.372	28.43	28.41	
21	2.44	28.371	28.431	28.41	
22	2.54	28.371	28.431	28.41	
23	2.64	28.371	28.432	28.411	
24	2.74	28.371	28.432	28.411	
25	2.84	28.371	28.432	28.411	
26	2.94	28.371	28.433	28.411	
27	3.	28.371	28.433	28.411	
28	3.01	28.371	28.433	28.411	
29	3.02	28.371	28.433	28.411	
30	3.05	28.371	28.433	28.412	
31	3.14	28.371	28.433	28.412	
32	3.24	28.371	28.434	28.412	
33	3.34	28.371	28.434	28.412	
34	3.44	28.371	28.434	28.412	
35	3.54	28.371	28.434	28.412	
36	3.64	28.371	28.435	28.413	
37	3.74	28.371	28.435	28.413	
38	3.84	28.371	28.435	28.413	
39	3.94	28.371	28.435	28.413	
40	4.	28.371	28.435	28.413	
41	4.01	28.371	28.435	28.413	
42	4.02	28.371	28.435	28.413	
43	4.05	28.371	28.435	28.413	
44	4.14	28.371	28.435	28.413	
45	4.24	28.371	28.436	28.413	
46	4.34	28.371	28.436	28.413	
47	4.44	28.371	28.436	28.413	
48	4.54	28.371	28.436	28.413	
49	4.64	28.371	28.436	28.413	
50	4.74	28.371	28.436	28.414	
51	4.84	28.371	28.436	28.414	
52	4.94	28.37	28.436	28.414	
53	5.	28.37	28.436	28.414	
54	5.01	28.37	28.436	28.414	
55	5.02	28.37	28.436	28.414	
56	5.05	28.37	28.436	28.414	
57	5.14	28.37	28.436	28.414	
58	5.24	28.37	28.436	28.414	
59	5.34	28.37	28.437	28.414	
60	5.44	28.37	28.437	28.414	
61	5.54	28.37	28.437	28.414	
62	5.64	28.37	28.437	28.414	
63	5.74	28.37	28.437	28.414	
64	5.84	28.37	28.437	28.414	
65	5.94	28.37	28.437	28.414	
66	6.	28.37	28.437	28.414	
67	6.01	28.37	28.437	28.414	
68	6.02	28.37	28.437	28.414	
69	6.05	28.37	28.437	28.414	
70	6.14	28.37	28.437	28.414	
71	6.24	28.37	28.437	28.414	
72	6.34	28.37	28.437	28.414	
73	6.44	28.37	28.437	28.414	
74	6.54	28.37	28.437	28.414	
75	6.64	28.37	28.437	28.414	
76	6.74	28.37	28.437	28.414	
77	6.84	28.37	28.437	28.414	
78	6.94	28.37	28.437	28.414	
79	7.	28.37	28.437	28.414	
80	7.01	28.37	28.437	28.414	
81	7.02	28.37	28.437	28.414	
82	7.05	28.37	28.437	28.414	
83	7.14	28.37	28.437	28.414	
84	7.24	28.37	28.437	28.414	
85	7.34	28.37	28.437	28.414	
86	7.44	28.37	28.437	28.414	
87	7.54	28.37	28.437	28.414	
88	7.64	28.37	28.437	28.414	
89	7.74	28.37	28.437	28.414	
90	7.84	28.37	28.437	28.414	
91	7.94	28.37	28.437	28.414	
92	8.	28.37	28.437	28.414	
93	8.01	28.37	28.437	28.414	
94	8.02	28.37	28.437	28.414	
95	8.05	28.37	28.437	28.414	
96	8.14	28.37	28.437	28.414	
97	8.24	28.37	28.437	28.414	
98	8.34	28.37	28.437	28.414	
99	8.44	28.37	28.437	28.414	
100	8.54	28.37	28.437	28.414	
101	8.64	28.37	28.437	28.414	
102	8.74	28.37	28.437	28.414	
103	8.84	28.37	28.437	28.414	
104	8.94	28.37	28.437	28.414	
105	9.	28.37	28.437	28.414	
106	9.01	28.37	28.437	28.414	
107	9.02	28.37	28.437	28.414	
108	9.05	28.37	28.437	28.414	
109	9.14	28.37	28.437	28.414	
110	9.24	28.37	28.437	28.414	
111	9.34	28.37	28.437	28.414	
112	9.44	28.37	28.437	28.414	
113	9.54	28.37	28.437	28.414	
114	9.64	28.37	28.437	28.414	
115	9.74	28.37	28.437	28.414	
116	9.84	28.37	28.437	28.414	
117	9.94	28.369	28.437	28.414	
118	10.	28.369	28.437	28.414	
119	10.01	28.369	28.437	28.414	
120	10.02	28.369	28.437	28.414	
121	10.05	28.369	28.437	28.414	
122	10.14	28.369	28.437	28.414	
123	10.24	28.369	28.437	28.414	
124	10.34	28.369	28.437	28.414	
125	10.44	28.369	28.437	28.414	
126	10.54	28.369	28.437	28.414	
127	10.64	28.369	28.437	28.414	
128	10.74	28.369	28.437	28.414	
129	10.84	28.369	28.437	28.414	
130	10.94	28.369	28.437	28.414	
131	11.	28.369	28.437	28.414	
132	11.01	28.369	28.437	28.414	
133	11.02	28.369	28.437	28.414	
134	11.05	28.369	28.437	28.414	
135	11.14	28.369	28.437	28.414	
136	11.24	28.369	28.437	28.414	
137	11.34	28.369	28.436	28.414	
138	11.44	28.369	28.436	28.414	
139	11.54	28.369	28.436	28.414	
140	11.64	28.369	28.436	28.414	
141	11.74	28.369	28.436	28.414	
142	11.84	28.369	28.436	28.414	
143	11.94	28.369	28.436	28.414	
144	12.	28.369	28.436	28.414	
145	12.01	28.369	28.436	28.414	
146	12.02	28.369	28.436	28.414	
147	12.05	28.369	28.436	28.414	
148	12.14	28.369	28.436	28.414	
149	12.24	28.369	28.436	28.414	
150	12.34	28.369	28.436	28.414	
151	12.44	28.369	28.436	28.413	
152	12.54	28.369	28.436	28.413	
153	12.64	28.369	28.436	28.413	
154	12.74	28.369	28.436	28.413	
155	12.84	28.369	28.436	28.413	
156	12.94	28.369	28.436	28.413	
157	13.	28.369	28.436	28.413	
158	13.01	28.369	28.436	28.413	
159	13.02	28.369	28.436	28.413	
160	13.05	28.369	28.436	28.413	
161	13.14	28.369	28.436	28.413	
162	13.24	28.369	28.436	28.413	
163	13.34	28.369	28.436	28.413	
164	13.44	28.369	28.436	28.413	
165	13.54	28.369	28.436	28.413	
166	13.64	28.369	28.436	28.413	
167	13.74	28.369	28.436	28.413	
168	13.84	28.369	28.436	28.413	
169	13.94	28.369	28.436	28.413	
170	14.	28.369	28.436	28.413	
171	14.01	28.369	28.436	28.413	
172	14.02	28.369	28.436	28.413	
173	14.05	28.369	28.436	28.413	
174	14.14	28.369	28.436	28.413	
175	14.24	28.369	28.436	28.413	
176	14.34	28.369	28.436	28.413	
177	14.44	28.369	28.436	28.413	
178	14.54	28.369	28.436	28.413	
179	14.64	28.369	28.436	28.413	
180	14.74	28.369	28.436	28.413	
181	14.84	28.369	28.436	28.413	
182	14.94	28.369	28.436	28.413	
183	15.	28.369	28.436	28.413	
184	15.01	28.369	28.436	28.413	
185	15.02	28.369	28.436	28.413	
186	15.05	28.369	28.436	28.413	
187	15.14	28.369	28.436	28.413	
188	15.24	28.369	28.436	28.413	
189	15.34	28.369	28.436	28.413	
190	15.44	28.369	28.436	28.413	
191	15.54	28.369	28.436	28.413	
192	15.64	28.369	28.436	28.413	
193	15.74	28.369	28.436	28.413	
194	15.84	28.369	28.436	28.413	
195	15.94	28.369	28.436	28.413	
196	16.	28.369	28.436	28.413	
