	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	25.2	25.25	25.232	
2	1.01	25.201	25.25	25.232	
3	1.02	25.203	25.25	25.232	
4	1.05	25.205	25.25	25.231	
5	1.1146	25.209	25.249	25.231	
6	1.2146	25.212	25.248	25.23	
7	1.3146	25.215	25.247	25.23	
8	1.4146	25.216	25.246	25.23	
9	1.5146	25.218	25.245	25.229	
10	1.6146	25.219	25.244	25.229	
11	1.7146	25.22	25.243	25.229	
12	1.8146	25.22	25.243	25.229	
13	1.9146	25.221	25.242	25.229	
14	2.	25.221	25.241	25.229	
15	2.01	25.221	25.241	25.229	
16	2.02	25.222	25.241	25.229	
17	2.05	25.222	25.241	25.229	
18	2.14	25.222	25.24	25.229	
19	2.24	25.223	25.239	25.229	
20	2.34	25.223	25.239	25.229	
21	2.44	25.223	25.238	25.229	
22	2.54	25.224	25.238	25.229	
23	2.64	25.224	25.237	25.229	
24	2.74	25.224	25.237	25.229	
25	2.84	25.224	25.236	25.229	
26	2.94	25.225	25.236	25.229	
27	3.	25.225	25.236	25.229	
28	3.01	25.225	25.236	25.229	
29	3.02	25.225	25.236	25.229	
30	3.05	25.225	25.235	25.229	
31	3.14	25.225	25.235	25.229	
32	3.24	25.225	25.235	25.229	
33	3.34	25.225	25.234	25.229	
34	3.44	25.225	25.234	25.229	
35	3.54	25.226	25.234	25.229	
36	3.64	25.226	25.234	25.229	
37	3.74	25.226	25.233	25.229	
38	3.84	25.226	25.233	25.229	
39	3.94	25.226	25.233	25.229	
40	4.	25.226	25.233	25.229	
41	4.01	25.226	25.233	25.229	
42	4.02	25.226	25.233	25.229	
43	4.05	25.226	25.233	25.229	
44	4.14	25.226	25.233	25.229	
45	4.24	25.226	25.233	25.229	
46	4.34	25.227	25.232	25.229	
47	4.44	25.227	25.232	25.229	
48	4.54	25.227	25.232	25.229	
49	4.64	25.227	25.232	25.229	
50	4.74	25.227	25.232	25.229	
51	4.84	25.227	25.232	25.229	
52	4.94	25.227	25.232	25.229	
53	5.	25.227	25.232	25.229	
54	5.01	25.227	25.232	25.229	
55	5.02	25.227	25.232	25.229	
56	5.05	25.227	25.232	25.229	
57	5.14	25.227	25.232	25.229	
58	5.24	25.227	25.231	25.229	
59	5.34	25.227	25.231	25.229	
60	5.44	25.227	25.231	25.229	
61	5.54	25.227	25.231	25.23	
62	5.64	25.227	25.231	25.23	
63	5.74	25.227	25.231	25.23	
64	5.84	25.227	25.231	25.23	
65	5.94	25.227	25.231	25.23	
66	6.	25.227	25.231	25.23	
67	6.01	25.227	25.231	25.23	
68	6.02	25.227	25.231	25.23	
69	6.05	25.227	25.231	25.23	
70	6.14	25.227	25.231	25.23	
71	6.24	25.227	25.231	25.23	
72	6.34	25.227	25.231	25.23	
73	6.44	25.227	25.231	25.23	
74	6.54	25.227	25.231	25.23	
75	6.64	25.227	25.231	25.23	
76	6.74	25.227	25.231	25.23	
77	6.84	25.227	25.231	25.23	
78	6.94	25.227	25.231	25.23	
79	7.	25.227	25.231	25.23	
