	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	25.769	25.769	25.769	
2	1.01	25.769	25.77	25.769	
3	1.02	25.769	25.77	25.769	
4	1.05	25.769	25.77	25.769	
5	1.1146	25.769	25.77	25.769	
6	1.2146	25.768	25.77	25.769	
7	1.3146	25.768	25.769	25.769	
8	1.4146	25.768	25.769	25.769	
9	1.5146	25.768	25.769	25.769	
10	1.6146	25.768	25.769	25.769	
11	1.7146	25.768	25.769	25.769	
12	1.8146	25.768	25.77	25.769	
13	1.9146	25.767	25.77	25.769	
14	2.	25.767	25.77	25.769	
15	2.01	25.767	25.77	25.769	
16	2.02	25.767	25.77	25.769	
17	2.05	25.767	25.77	25.769	
18	2.14	25.767	25.77	25.769	
19	2.24	25.767	25.77	25.769	
20	2.34	25.767	25.77	25.769	
21	2.44	25.767	25.77	25.769	
22	2.54	25.766	25.77	25.769	
23	2.64	25.766	25.77	25.769	
24	2.74	25.766	25.77	25.769	
25	2.84	25.766	25.77	25.769	
26	2.94	25.766	25.77	25.769	
27	3.	25.766	25.77	25.769	
28	3.01	25.766	25.77	25.769	
29	3.02	25.766	25.77	25.769	
30	3.05	25.766	25.77	25.769	
31	3.14	25.766	25.77	25.769	
32	3.24	25.765	25.77	25.769	
33	3.34	25.765	25.77	25.769	
34	3.44	25.765	25.77	25.769	
35	3.54	25.765	25.77	25.769	
36	3.64	25.765	25.771	25.769	
37	3.74	25.765	25.771	25.769	
38	3.84	25.765	25.771	25.769	
39	3.94	25.765	25.771	25.769	
40	4.	25.765	25.771	25.769	
41	4.01	25.765	25.771	25.769	
42	4.02	25.765	25.771	25.769	
43	4.05	25.765	25.771	25.769	
44	4.14	25.764	25.771	25.769	
45	4.24	25.764	25.771	25.769	
46	4.34	25.764	25.771	25.769	
47	4.44	25.764	25.771	25.769	
48	4.54	25.764	25.771	25.769	
49	4.64	25.764	25.771	25.769	
50	4.74	25.764	25.771	25.769	
51	4.84	25.764	25.771	25.769	
52	4.94	25.764	25.771	25.769	
53	5.	25.764	25.771	25.769	
54	5.01	25.764	25.771	25.769	
55	5.02	25.764	25.771	25.769	
56	5.05	25.764	25.771	25.769	
57	5.14	25.764	25.771	25.769	
58	5.24	25.764	25.772	25.769	
59	5.34	25.764	25.772	25.769	
60	5.44	25.763	25.772	25.769	
61	5.54	25.763	25.772	25.769	
62	5.64	25.763	25.772	25.769	
63	5.74	25.763	25.772	25.769	
64	5.84	25.763	25.772	25.769	
65	5.94	25.763	25.772	25.769	
66	6.	25.763	25.772	25.769	
67	6.01	25.763	25.772	25.769	
68	6.02	25.763	25.772	25.769	
69	6.05	25.763	25.772	25.769	
