	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	25.078	25.193	25.134	
2	1.01	25.078	25.19	25.134	
3	1.02	25.077	25.187	25.134	
4	1.05	25.077	25.18	25.134	
5	1.1146	25.076	25.176	25.135	
6	1.2146	25.075	25.187	25.135	
7	1.3146	25.074	25.195	25.135	
8	1.4146	25.074	25.2	25.136	
9	1.5146	25.074	25.205	25.136	
10	1.6146	25.073	25.208	25.136	
11	1.7146	25.073	25.211	25.136	
12	1.8146	25.073	25.213	25.136	
13	1.9146	25.073	25.215	25.136	
14	2.	25.073	25.216	25.136	
15	2.01	25.073	25.217	25.136	
16	2.02	25.073	25.217	25.136	
17	2.05	25.073	25.217	25.136	
18	2.14	25.073	25.218	25.136	
19	2.24	25.072	25.22	25.136	
20	2.34	25.072	25.22	25.136	
21	2.44	25.072	25.221	25.136	
22	2.54	25.072	25.222	25.136	
23	2.64	25.072	25.223	25.136	
24	2.74	25.072	25.223	25.136	
25	2.84	25.072	25.224	25.136	
26	2.94	25.072	25.224	25.137	
27	3.	25.072	25.225	25.137	
28	3.01	25.072	25.225	25.137	
29	3.02	25.072	25.225	25.137	
30	3.05	25.072	25.225	25.137	
31	3.14	25.072	25.225	25.137	
32	3.24	25.072	25.226	25.137	
33	3.34	25.072	25.226	25.137	
34	3.44	25.072	25.226	25.137	
35	3.54	25.072	25.227	25.137	
36	3.64	25.072	25.227	25.137	
37	3.74	25.072	25.227	25.137	
38	3.84	25.072	25.227	25.137	
39	3.94	25.072	25.227	25.137	
40	4.	25.072	25.228	25.137	
41	4.01	25.072	25.228	25.137	
42	4.02	25.072	25.228	25.137	
43	4.05	25.071	25.228	25.137	
44	4.14	25.071	25.228	25.137	
45	4.24	25.071	25.228	25.137	
46	4.34	25.071	25.228	25.137	
47	4.44	25.071	25.228	25.137	
48	4.54	25.071	25.229	25.137	
49	4.64	25.071	25.229	25.137	
50	4.74	25.071	25.229	25.137	
51	4.84	25.071	25.229	25.137	
52	4.94	25.071	25.229	25.137	
53	5.	25.071	25.229	25.137	
54	5.01	25.071	25.229	25.137	
55	5.02	25.071	25.229	25.137	
56	5.05	25.071	25.229	25.137	
57	5.14	25.071	25.229	25.137	
58	5.24	25.071	25.23	25.137	
59	5.34	25.071	25.23	25.137	
60	5.44	25.071	25.23	25.137	
61	5.54	25.071	25.23	25.137	
62	5.64	25.071	25.23	25.137	
63	5.74	25.071	25.23	25.137	
64	5.84	25.071	25.23	25.137	
65	5.94	25.071	25.23	25.137	
66	6.	25.071	25.23	25.137	
67	6.01	25.071	25.23	25.137	
68	6.02	25.071	25.23	25.137	
69	6.05	25.071	25.23	25.137	
70	6.14	25.071	25.23	25.137	
71	6.24	25.071	25.23	25.137	
72	6.34	25.071	25.23	25.137	
73	6.44	25.071	25.231	25.137	
74	6.54	25.071	25.231	25.137	
75	6.64	25.071	25.231	25.137	
76	6.74	25.071	25.231	25.137	
77	6.84	25.071	25.231	25.137	
78	6.94	25.071	25.231	25.137	
79	7.	25.071	25.231	25.137	
80	7.01	25.071	25.231	25.137	
81	7.02	25.071	25.231	25.137	
82	7.05	25.071	25.231	25.137	
83	7.14	25.071	25.231	25.137	
84	7.24	25.071	25.231	25.137	
85	7.34	25.071	25.231	25.137	
86	7.44	25.071	25.231	25.137	
87	7.54	25.072	25.231	25.137	
88	7.64	25.072	25.231	25.137	
89	7.74	25.072	25.231	25.137	
90	7.84	25.072	25.231	25.137	
91	7.94	25.072	25.231	25.137	
92	8.	25.072	25.231	25.137	
93	8.01	25.072	25.231	25.137	
94	8.02	25.072	25.231	25.137	
95	8.05	25.072	25.231	25.137	
96	8.14	25.072	25.232	25.137	
97	8.24	25.072	25.232	25.137	
98	8.34	25.072	25.232	25.137	
99	8.44	25.072	25.232	25.137	
100	8.54	25.072	25.232	25.137	
101	8.64	25.072	25.232	25.137	
102	8.74	25.072	25.232	25.137	
103	8.84	25.072	25.232	25.137	
104	8.94	25.072	25.232	25.137	
105	9.	25.072	25.232	25.137	
106	9.01	25.072	25.232	25.137	
107	9.02	25.072	25.232	25.137	
108	9.05	25.072	25.232	25.137	
109	9.14	25.072	25.232	25.137	
110	9.24	25.072	25.232	25.137	
111	9.34	25.072	25.232	25.137	
112	9.44	25.072	25.232	25.137	
113	9.54	25.072	25.232	25.137	
114	9.64	25.072	25.232	25.137	
115	9.74	25.072	25.232	25.137	
116	9.84	25.072	25.232	25.137	
117	9.94	25.072	25.232	25.137	
118	10.	25.072	25.232	25.137	
119	10.01	25.072	25.232	25.137	
120	10.02	25.072	25.232	25.137	
121	10.05	25.072	25.232	25.137	
122	10.14	25.072	25.232	25.137	
123	10.24	25.072	25.232	25.137	
124	10.34	25.072	25.232	25.137	
125	10.44	25.072	25.232	25.137	
126	10.54	25.072	25.232	25.137	
127	10.64	25.072	25.232	25.137	
128	10.74	25.072	25.232	25.137	
129	10.84	25.072	25.232	25.137	
130	10.94	25.072	25.233	25.137	
131	11.	25.072	25.233	25.137	
132	11.01	25.072	25.233	25.137	
133	11.02	25.072	25.233	25.137	
134	11.05	25.072	25.233	25.137	
135	11.14	25.072	25.233	25.137	
136	11.24	25.072	25.233	25.137	
137	11.34	25.072	25.233	25.137	
138	11.44	25.072	25.233	25.137	
139	11.54	25.072	25.233	25.137	
140	11.64	25.072	25.233	25.137	
141	11.74	25.072	25.233	25.137	
142	11.84	25.072	25.233	25.137	
143	11.94	25.072	25.233	25.137	
144	12.	25.072	25.233	25.137	
145	12.01	25.072	25.233	25.137	
146	12.02	25.072	25.233	25.137	
147	12.05	25.072	25.233	25.137	
148	12.14	25.072	25.233	25.137	
149	12.24	25.072	25.233	25.137	
150	12.34	25.072	25.233	25.137	
151	12.44	25.072	25.233	25.137	
152	12.54	25.072	25.233	25.137	
153	12.64	25.072	25.233	25.137	
154	12.74	25.072	25.233	25.137	
155	12.84	25.072	25.233	25.137	
156	12.94	25.072	25.233	25.137	
157	13.	25.072	25.233	25.137	
158	13.01	25.072	25.233	25.137	
159	13.02	25.072	25.233	25.137	
160	13.05	25.072	25.233	25.137	
161	13.14	25.072	25.233	25.137	
162	13.24	25.072	25.233	25.137	
163	13.34	25.072	25.233	25.137	
164	13.44	25.072	25.233	25.137	
165	13.54	25.072	25.233	25.137	
166	13.64	25.072	25.233	25.137	
167	13.74	25.072	25.233	25.137	
168	13.84	25.072	25.233	25.137	
169	13.94	25.072	25.233	25.137	
170	14.	25.072	25.233	25.137	
171	14.01	25.072	25.233	25.137	
172	14.02	25.072	25.233	25.137	
173	14.05	25.072	25.233	25.137	
174	14.14	25.072	25.233	25.137	
175	14.24	25.072	25.233	25.137	
176	14.34	25.072	25.233	25.137	
177	14.44	25.072	25.233	25.137	
178	14.54	25.072	25.234	25.137	
179	14.64	25.072	25.234	25.137	
180	14.74	25.072	25.234	25.137	
181	14.84	25.072	25.234	25.137	
182	14.94	25.072	25.234	25.137	
183	15.	25.072	25.234	25.137	
184	15.01	25.072	25.234	25.137	
185	15.02	25.072	25.234	25.137	
186	15.05	25.072	25.234	25.137	
187	15.14	25.072	25.234	25.137	
188	15.24	25.072	25.234	25.137	
189	15.34	25.072	25.234	25.137	
190	15.44	25.072	25.234	25.137	
191	15.54	25.072	25.234	25.137	
192	15.64	25.072	25.234	25.137	
193	15.74	25.072	25.234	25.137	
194	15.84	25.072	25.234	25.137	
195	15.94	25.072	25.234	25.137	
196	16.	25.072	25.234	25.137	
197	16.01	25.072	25.234	25.137	
198	16.02	25.072	25.234	25.137	
199	16.05	25.072	25.234	25.137	
200	16.14	25.072	25.234	25.137	
201	16.24	25.072	25.234	25.137	
202	16.34	25.072	25.234	25.137	
203	16.44	25.072	25.234	25.137	
204	16.54	25.072	25.234	25.137	
205	16.64	25.072	25.234	25.137	
206	16.74	25.072	25.234	25.137	
207	16.84	25.072	25.234	25.137	
208	16.94	25.072	25.234	25.137	
209	17.	25.072	25.234	25.137	
210	17.01	25.072	25.234	25.137	
211	17.02	25.072	25.234	25.137	
212	17.05	25.072	25.234	25.137	
213	17.14	25.072	25.234	25.137	
214	17.24	25.072	25.234	25.137	
215	17.34	25.072	25.234	25.137	
216	17.44	25.072	25.234	25.137	
217	17.54	25.072	25.234	25.137	
218	17.64	25.072	25.234	25.137	
219	17.74	25.072	25.234	25.137	
220	17.84	25.072	25.234	25.137	
221	17.94	25.072	25.234	25.137	
222	18.	25.072	25.234	25.137	
223	18.01	25.072	25.234	25.137	
224	18.02	25.072	25.234	25.137	
225	18.05	25.072	25.234	25.137	
226	18.14	25.073	25.234	25.137	
227	18.24	25.073	25.234	25.137	
228	18.34	25.073	25.234	25.137	
229	18.44	25.073	25.234	25.137	
230	18.54	25.073	25.234	25.137	
231	18.64	25.073	25.235	25.137	
232	18.74	25.073	25.235	25.137	
233	18.84	25.073	25.235	25.137	
234	18.94	25.073	25.235	25.137	
235	19.	25.073	25.235	25.137	
236	19.01	25.073	25.235	25.137	
237	19.02	25.073	25.235	25.137	
238	19.05	25.073	25.235	25.137	
239	19.14	25.073	25.235	25.137	
240	19.24	25.073	25.235	25.137	
241	19.34	25.073	25.235	25.137	
242	19.44	25.073	25.235	25.137	
243	19.54	25.073	25.235	25.137	
244	19.64	25.073	25.235	25.137	
245	19.74	25.073	25.235	25.137	
246	19.84	25.073	25.235	25.137	
247	19.94	25.073	25.235	25.137	
248	20.	25.073	25.235	25.136	
249	20.01	25.073	25.235	25.136	
250	20.02	25.073	25.235	25.136	
251	20.05	25.073	25.235	25.136	
252	20.14	25.073	25.235	25.136	
253	20.24	25.073	25.235	25.136	
254	20.34	25.073	25.235	25.136	
255	20.44	25.073	25.235	25.136	
256	20.54	25.073	25.235	25.136	
257	20.64	25.073	25.235	25.136	
258	20.74	25.073	25.235	25.136	
259	20.84	25.073	25.235	25.136	
260	20.94	25.073	25.235	25.136	
261	21.	25.073	25.235	25.136	
262	21.01	25.073	25.235	25.136	
263	21.02	25.073	25.235	25.136	
264	21.05	25.073	25.235	25.136	
265	21.14	25.073	25.235	25.136	
266	21.24	25.073	25.235	25.136	
267	21.34	25.073	25.235	25.136	
268	21.44	25.073	25.235	25.136	
269	21.54	25.073	25.235	25.136	
270	21.64	25.073	25.235	25.136	
271	21.74	25.073	25.235	25.136	
272	21.84	25.073	25.235	25.136	
273	21.94	25.073	25.235	25.136	
274	22.	25.073	25.235	25.136	
275	22.01	25.073	25.235	25.136	
276	22.02	25.073	25.235	25.136	
277	22.05	25.073	25.235	25.136	
278	22.14	25.073	25.235	25.136	
279	22.24	25.073	25.235	25.136	
280	22.34	25.073	25.235	25.136	
281	22.44	25.073	25.235	25.136	
282	22.54	25.073	25.235	25.136	
283	22.64	25.073	25.235	25.136	
284	22.74	25.073	25.235	25.136	
285	22.84	25.073	25.236	25.136	
286	22.94	25.073	25.236	25.136	
287	23.	25.073	25.236	25.136	
288	23.01	25.073	25.236	25.136	
289	23.02	25.073	25.236	25.136	
290	23.05	25.073	25.236	25.136	
291	23.14	25.073	25.236	25.136	
292	23.24	25.073	25.236	25.136	
293	23.34	25.073	25.236	25.136	
294	23.44	25.073	25.236	25.136	
295	23.54	25.073	25.236	25.136	
296	23.64	25.073	25.236	25.136	
297	23.74	25.073	25.236	25.136	
298	23.84	25.073	25.236	25.136	
299	23.94	25.073	25.236	25.136	
300	24.	25.073	25.236	25.136	
301	24.01	25.073	25.236	25.136	
302	24.02	25.073	25.236	25.136	
303	24.05	25.073	25.236	25.136	
