	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	25.779	25.791	25.787	
2	1.01	25.779	25.791	25.787	
3	1.02	25.779	25.791	25.787	
4	1.05	25.779	25.792	25.787	
5	1.1146	25.779	25.792	25.787	
6	1.2146	25.779	25.792	25.787	
7	1.3146	25.779	25.792	25.787	
8	1.4146	25.779	25.793	25.788	
9	1.5146	25.779	25.793	25.788	
10	1.6146	25.779	25.793	25.788	
11	1.7146	25.779	25.793	25.788	
12	1.8146	25.779	25.793	25.788	
13	1.9146	25.779	25.794	25.788	
14	2.	25.779	25.794	25.788	
15	2.01	25.779	25.794	25.788	
16	2.02	25.779	25.794	25.788	
17	2.05	25.779	25.794	25.788	
18	2.14	25.779	25.794	25.789	
19	2.24	25.779	25.794	25.789	
20	2.34	25.779	25.794	25.789	
21	2.44	25.779	25.794	25.789	
22	2.54	25.779	25.794	25.789	
23	2.64	25.779	25.795	25.789	
24	2.74	25.779	25.795	25.789	
25	2.84	25.779	25.795	25.789	
26	2.94	25.779	25.795	25.789	
27	3.	25.779	25.795	25.789	
28	3.01	25.779	25.795	25.789	
29	3.02	25.779	25.795	25.789	
30	3.05	25.779	25.795	25.789	
31	3.14	25.779	25.795	25.789	
32	3.24	25.779	25.795	25.789	
33	3.34	25.779	25.795	25.79	
34	3.44	25.779	25.795	25.79	
35	3.54	25.779	25.795	25.79	
36	3.64	25.779	25.795	25.79	
37	3.74	25.779	25.796	25.79	
38	3.84	25.779	25.796	25.79	
39	3.94	25.779	25.796	25.79	
40	4.	25.779	25.796	25.79	
41	4.01	25.779	25.796	25.79	
42	4.02	25.779	25.796	25.79	
43	4.05	25.779	25.796	25.79	
44	4.14	25.779	25.796	25.79	
45	4.24	25.779	25.796	25.79	
46	4.34	25.779	25.796	25.79	
47	4.44	25.779	25.796	25.79	
48	4.54	25.779	25.796	25.79	
49	4.64	25.779	25.796	25.79	
50	4.74	25.779	25.796	25.79	
51	4.84	25.779	25.796	25.79	
52	4.94	25.779	25.796	25.79	
53	5.	25.779	25.796	25.79	
54	5.01	25.779	25.796	25.79	
55	5.02	25.779	25.796	25.79	
56	5.05	25.779	25.796	25.79	
57	5.14	25.779	25.796	25.79	
58	5.24	25.779	25.796	25.79	
59	5.34	25.779	25.796	25.79	
60	5.44	25.779	25.796	25.79	
61	5.54	25.779	25.796	25.79	
62	5.64	25.779	25.796	25.79	
63	5.74	25.779	25.796	25.79	
64	5.84	25.779	25.796	25.791	
65	5.94	25.779	25.796	25.791	
66	6.	25.779	25.796	25.791	
67	6.01	25.779	25.796	25.791	
68	6.02	25.779	25.796	25.791	
69	6.05	25.779	25.796	25.791	
70	6.14	25.779	25.796	25.791	
71	6.24	25.779	25.797	25.791	
72	6.34	25.779	25.797	25.791	
73	6.44	25.779	25.797	25.791	
74	6.54	25.779	25.797	25.791	
75	6.64	25.779	25.797	25.791	
76	6.74	25.779	25.797	25.791	
77	6.84	25.779	25.797	25.791	
78	6.94	25.779	25.797	25.791	
79	7.	25.779	25.797	25.791	
80	7.01	25.779	25.797	25.791	
81	7.02	25.779	25.797	25.791	
82	7.05	25.78	25.797	25.791	
83	7.14	25.78	25.797	25.791	
84	7.24	25.78	25.797	25.791	
85	7.34	25.78	25.797	25.791	
86	7.44	25.78	25.797	25.791	
87	7.54	25.78	25.797	25.791	
88	7.64	25.78	25.797	25.791	
89	7.74	25.78	25.797	25.791	
90	7.84	25.78	25.797	25.791	
91	7.94	25.78	25.797	25.791	
92	8.	25.78	25.797	25.791	
93	8.01	25.78	25.797	25.791	
94	8.02	25.78	25.797	25.791	
95	8.05	25.78	25.797	25.791	
96	8.14	25.78	25.797	25.791	
97	8.24	25.78	25.797	25.791	
98	8.34	25.78	25.797	25.791	
99	8.44	25.78	25.797	25.791	
100	8.54	25.78	25.797	25.791	
101	8.64	25.78	25.797	25.791	
102	8.74	25.78	25.797	25.791	
103	8.84	25.78	25.797	25.791	
104	8.94	25.78	25.797	25.791	
105	9.	25.78	25.797	25.791	
106	9.01	25.78	25.797	25.791	
107	9.02	25.78	25.797	25.791	
108	9.05	25.78	25.797	25.791	
109	9.14	25.78	25.797	25.791	
110	9.24	25.78	25.797	25.791	
111	9.34	25.78	25.797	25.791	
112	9.44	25.78	25.797	25.791	
113	9.54	25.78	25.797	25.791	
114	9.64	25.78	25.797	25.791	
115	9.74	25.78	25.797	25.791	
116	9.84	25.78	25.797	25.791	
117	9.94	25.78	25.797	25.791	
118	10.	25.78	25.797	25.792	
119	10.01	25.78	25.797	25.792	
120	10.02	25.78	25.797	25.792	
121	10.05	25.78	25.797	25.792	
122	10.14	25.78	25.797	25.792	
123	10.24	25.78	25.797	25.792	
124	10.34	25.78	25.797	25.792	
125	10.44	25.78	25.797	25.792	
126	10.54	25.78	25.798	25.792	
127	10.64	25.78	25.798	25.792	
128	10.74	25.78	25.798	25.792	
129	10.84	25.78	25.798	25.792	
130	10.94	25.78	25.798	25.792	
131	11.	25.78	25.798	25.792	
132	11.01	25.78	25.798	25.792	
133	11.02	25.78	25.798	25.792	
134	11.05	25.78	25.798	25.792	
135	11.14	25.78	25.798	25.792	
136	11.24	25.78	25.798	25.792	
137	11.34	25.78	25.798	25.792	
138	11.44	25.78	25.798	25.792	
139	11.54	25.781	25.798	25.792	
140	11.64	25.781	25.798	25.792	
141	11.74	25.781	25.798	25.792	
142	11.84	25.781	25.798	25.792	
143	11.94	25.781	25.798	25.792	
144	12.	25.781	25.798	25.792	
145	12.01	25.781	25.798	25.792	
146	12.02	25.781	25.798	25.792	
147	12.05	25.781	25.798	25.792	
148	12.14	25.781	25.798	25.792	
149	12.24	25.781	25.798	25.792	
150	12.34	25.781	25.798	25.792	
151	12.44	25.781	25.798	25.792	
152	12.54	25.781	25.798	25.792	
153	12.64	25.781	25.798	25.792	
154	12.74	25.781	25.798	25.792	
155	12.84	25.781	25.798	25.792	
156	12.94	25.781	25.798	25.792	
157	13.	25.781	25.798	25.792	
158	13.01	25.781	25.798	25.792	
159	13.02	25.781	25.798	25.792	
160	13.05	25.781	25.798	25.792	
161	13.14	25.781	25.798	25.792	
162	13.24	25.781	25.798	25.792	
163	13.34	25.781	25.798	25.792	
164	13.44	25.781	25.798	25.792	
165	13.54	25.781	25.798	25.792	
166	13.64	25.781	25.798	25.792	
167	13.74	25.781	25.798	25.792	
168	13.84	25.781	25.798	25.792	
169	13.94	25.781	25.798	25.792	
170	14.	25.781	25.798	25.792	
171	14.01	25.781	25.798	25.792	
172	14.02	25.781	25.798	25.792	
173	14.05	25.781	25.798	25.792	
174	14.14	25.781	25.798	25.793	
175	14.24	25.781	25.798	25.793	
176	14.34	25.781	25.798	25.793	
177	14.44	25.781	25.798	25.793	
178	14.54	25.781	25.798	25.793	
179	14.64	25.781	25.799	25.793	
180	14.74	25.781	25.799	25.793	
181	14.84	25.781	25.799	25.793	
182	14.94	25.781	25.799	25.793	
183	15.	25.781	25.799	25.793	
184	15.01	25.781	25.799	25.793	
185	15.02	25.781	25.799	25.793	
186	15.05	25.781	25.799	25.793	
187	15.14	25.781	25.799	25.793	
