	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	26.104	26.434	26.179	
2	1.01	26.1	26.435	26.176	
3	1.02	26.097	26.435	26.174	
4	1.05	26.087	26.437	26.167	
5	1.1142	26.07	26.44	26.154	
6	1.2142	26.055	26.445	26.143	
7	1.3142	26.048	26.449	26.137	
8	1.4142	26.045	26.454	26.135	
9	1.5142	26.045	26.459	26.136	
10	1.6142	26.046	26.463	26.137	
11	1.7142	26.049	26.467	26.139	
12	1.8142	26.051	26.471	26.141	
13	1.9142	26.053	26.474	26.144	
14	2.	26.055	26.477	26.146	
15	2.01	26.056	26.477	26.146	
16	2.02	26.056	26.477	26.146	
17	2.05	26.057	26.478	26.147	
18	2.14	26.058	26.481	26.149	
19	2.24	26.06	26.484	26.151	
20	2.34	26.062	26.486	26.152	
21	2.44	26.064	26.489	26.154	
22	2.54	26.065	26.491	26.156	
23	2.64	26.066	26.493	26.157	
24	2.74	26.067	26.495	26.158	
25	2.84	26.068	26.498	26.159	
26	2.94	26.069	26.5	26.16	
27	3.	26.069	26.501	26.161	
28	3.01	26.069	26.501	26.161	
29	3.02	26.069	26.501	26.161	
30	3.05	26.07	26.502	26.161	
31	3.14	26.07	26.504	26.162	
32	3.24	26.07	26.505	26.162	
33	3.34	26.071	26.507	26.163	
34	3.44	26.071	26.509	26.164	
35	3.54	26.071	26.511	26.164	
36	3.64	26.071	26.512	26.164	
37	3.74	26.071	26.514	26.165	
38	3.84	26.071	26.515	26.165	
39	3.94	26.071	26.517	26.165	
40	4.	26.071	26.518	26.166	
41	4.01	26.071	26.518	26.166	
42	4.02	26.071	26.518	26.166	
43	4.05	26.071	26.519	26.166	
44	4.14	26.071	26.52	26.166	
45	4.24	26.071	26.521	26.166	
46	4.34	26.071	26.523	26.166	
47	4.44	26.07	26.524	26.166	
48	4.54	26.07	26.525	26.166	
49	4.64	26.07	26.526	26.166	
50	4.74	26.07	26.528	26.166	
51	4.84	26.069	26.529	26.166	
52	4.94	26.069	26.53	26.166	
53	5.	26.069	26.531	26.166	
54	5.01	26.069	26.531	26.166	
55	5.02	26.069	26.531	26.166	
56	5.05	26.069	26.531	26.166	
57	5.14	26.068	26.532	26.166	
58	5.24	26.068	26.533	26.166	
59	5.34	26.068	26.534	26.166	
60	5.44	26.068	26.535	26.166	
61	5.54	26.067	26.536	26.166	
62	5.64	26.067	26.537	26.166	
63	5.74	26.067	26.538	26.166	
64	5.84	26.066	26.539	26.166	
65	5.94	26.066	26.54	26.166	
66	6.	26.066	26.54	26.166	
67	6.01	26.066	26.54	26.166	
68	6.02	26.066	26.54	26.166	
69	6.05	26.066	26.54	26.166	
70	6.14	26.065	26.541	26.166	
71	6.24	26.065	26.542	26.166	
72	6.34	26.065	26.543	26.166	
73	6.44	26.064	26.543	26.165	
74	6.54	26.064	26.544	26.165	
75	6.64	26.064	26.545	26.165	
76	6.74	26.064	26.545	26.165	
77	6.84	26.063	26.546	26.165	
78	6.94	26.063	26.547	26.165	
79	7.	26.063	26.547	26.165	
80	7.01	26.063	26.547	26.165	
81	7.02	26.063	26.547	26.165	
82	7.05	26.063	26.547	26.165	
83	7.14	26.063	26.548	26.165	
84	7.24	26.062	26.548	26.165	
85	7.34	26.062	26.549	26.165	
86	7.44	26.062	26.549	26.165	
87	7.54	26.062	26.55	26.165	
88	7.64	26.061	26.55	26.165	
89	7.74	26.061	26.551	26.164	
90	7.84	26.061	26.551	26.164	
91	7.94	26.061	26.552	26.164	
92	8.	26.061	26.552	26.164	
93	8.01	26.061	26.552	26.164	
94	8.02	26.061	26.552	26.164	
95	8.05	26.061	26.552	26.164	
96	8.14	26.06	26.553	26.164	
97	8.24	26.06	26.553	26.164	
98	8.34	26.06	26.554	26.164	
99	8.44	26.06	26.554	26.164	
100	8.54	26.06	26.554	26.164	
101	8.64	26.06	26.555	26.164	
