	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	26.138	26.462	26.347	
2	1.01	26.136	26.462	26.346	
3	1.02	26.133	26.463	26.346	
4	1.05	26.125	26.465	26.344	
5	1.1142	26.11	26.469	26.341	
6	1.2142	26.095	26.473	26.339	
7	1.3142	26.088	26.476	26.338	
8	1.4142	26.085	26.478	26.339	
9	1.5142	26.085	26.48	26.34	
10	1.6142	26.086	26.482	26.341	
11	1.7142	26.088	26.484	26.343	
12	1.8142	26.091	26.486	26.345	
13	1.9142	26.093	26.487	26.347	
14	2.	26.095	26.489	26.349	
15	2.01	26.096	26.489	26.349	
16	2.02	26.096	26.489	26.349	
17	2.05	26.096	26.49	26.35	
18	2.14	26.098	26.492	26.352	
19	2.24	26.1	26.493	26.354	
20	2.34	26.102	26.495	26.355	
21	2.44	26.103	26.497	26.357	
22	2.54	26.104	26.499	26.359	
23	2.64	26.106	26.501	26.361	
24	2.74	26.107	26.503	26.362	
25	2.84	26.107	26.504	26.364	
26	2.94	26.108	26.506	26.365	
27	3.	26.109	26.507	26.366	
28	3.01	26.109	26.507	26.366	
29	3.02	26.109	26.508	26.366	
30	3.05	26.109	26.508	26.366	
31	3.14	26.109	26.51	26.368	
32	3.24	26.11	26.511	26.369	
33	3.34	26.11	26.513	26.37	
34	3.44	26.111	26.514	26.371	
35	3.54	26.111	26.516	26.372	
36	3.64	26.111	26.517	26.373	
37	3.74	26.111	26.519	26.374	
38	3.84	26.111	26.52	26.375	
39	3.94	26.111	26.522	26.376	
40	4.	26.111	26.523	26.377	
41	4.01	26.111	26.523	26.377	
42	4.02	26.111	26.523	26.377	
43	4.05	26.111	26.523	26.377	
44	4.14	26.111	26.524	26.378	
45	4.24	26.111	26.526	26.379	
46	4.34	26.111	26.527	26.38	
47	4.44	26.111	26.528	26.38	
48	4.54	26.111	26.529	26.381	
49	4.64	26.111	26.531	26.382	
50	4.74	26.111	26.532	26.382	
51	4.84	26.11	26.533	26.383	
52	4.94	26.11	26.534	26.384	
53	5.	26.11	26.535	26.384	
54	5.01	26.11	26.535	26.384	
55	5.02	26.11	26.535	26.384	
56	5.05	26.11	26.535	26.384	
57	5.14	26.11	26.536	26.385	
58	5.24	26.11	26.537	26.385	
59	5.34	26.109	26.538	26.386	
60	5.44	26.109	26.539	26.387	
61	5.54	26.109	26.54	26.387	
62	5.64	26.109	26.541	26.387	
63	5.74	26.109	26.541	26.388	
64	5.84	26.108	26.542	26.388	
65	5.94	26.108	26.543	26.389	
66	6.	26.108	26.543	26.389	
67	6.01	26.108	26.544	26.389	
68	6.02	26.108	26.544	26.389	
69	6.05	26.108	26.544	26.389	
70	6.14	26.108	26.544	26.39	
71	6.24	26.107	26.545	26.39	
72	6.34	26.107	26.546	26.39	
73	6.44	26.107	26.547	26.391	
74	6.54	26.107	26.547	26.391	
75	6.64	26.107	26.548	26.391	
76	6.74	26.106	26.548	26.392	
77	6.84	26.106	26.549	26.392	
78	6.94	26.106	26.55	26.392	
79	7.	26.106	26.55	26.393	
80	7.01	26.106	26.55	26.393	
81	7.02	26.106	26.55	26.393	
82	7.05	26.106	26.55	26.393	
83	7.14	26.106	26.551	26.393	
84	7.24	26.105	26.551	26.393	
85	7.34	26.105	26.552	26.394	
86	7.44	26.105	26.552	26.394	
87	7.54	26.105	26.553	26.394	
88	7.64	26.105	26.553	26.394	
89	7.74	26.105	26.554	26.394	
90	7.84	26.104	26.554	26.395	
91	7.94	26.104	26.555	26.395	
92	8.	26.104	26.555	26.395	
93	8.01	26.104	26.555	26.395	
94	8.02	26.104	26.555	26.395	
95	8.05	26.104	26.555	26.395	
96	8.14	26.104	26.555	26.395	
