	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	28.328	28.335	28.331	
2	1.01	28.329	28.335	28.331	
3	1.02	28.329	28.335	28.331	
4	1.05	28.329	28.335	28.331	
5	1.1142	28.328	28.335	28.33	
6	1.2142	28.327	28.334	28.33	
7	1.3142	28.327	28.334	28.329	
8	1.4142	28.326	28.334	28.328	
9	1.5142	28.325	28.334	28.327	
10	1.6142	28.324	28.333	28.327	
11	1.7142	28.324	28.333	28.326	
12	1.8142	28.323	28.333	28.325	
13	1.9142	28.322	28.333	28.325	
14	2.	28.321	28.333	28.324	
15	2.01	28.321	28.333	28.324	
16	2.02	28.321	28.333	28.324	
17	2.05	28.321	28.333	28.324	
18	2.14	28.32	28.334	28.323	
19	2.24	28.319	28.334	28.323	
20	2.34	28.318	28.334	28.322	
21	2.44	28.317	28.334	28.321	
22	2.54	28.316	28.334	28.321	
23	2.64	28.315	28.334	28.32	
24	2.74	28.315	28.334	28.319	
25	2.84	28.314	28.334	28.319	
26	2.94	28.313	28.335	28.318	
27	3.	28.313	28.335	28.318	
28	3.01	28.312	28.335	28.318	
29	3.02	28.312	28.335	28.318	
30	3.05	28.312	28.335	28.318	
31	3.14	28.312	28.335	28.317	
32	3.24	28.311	28.335	28.317	
33	3.34	28.31	28.335	28.316	
34	3.44	28.31	28.335	28.316	
35	3.54	28.309	28.335	28.315	
36	3.64	28.308	28.336	28.315	
37	3.74	28.308	28.336	28.314	
38	3.84	28.307	28.336	28.314	
39	3.94	28.307	28.336	28.313	
40	4.	28.306	28.336	28.313	
41	4.01	28.306	28.336	28.313	
42	4.02	28.306	28.336	28.313	
43	4.05	28.306	28.336	28.313	
44	4.14	28.306	28.336	28.313	
45	4.24	28.305	28.336	28.312	
46	4.34	28.305	28.337	28.312	
47	4.44	28.304	28.337	28.312	
48	4.54	28.304	28.337	28.311	
49	4.64	28.303	28.337	28.311	
50	4.74	28.303	28.337	28.311	
51	4.84	28.303	28.337	28.311	
52	4.94	28.302	28.337	28.31	
53	5.	28.302	28.337	28.31	
54	5.01	28.302	28.337	28.31	
55	5.02	28.302	28.337	28.31	
56	5.05	28.302	28.337	28.31	
57	5.14	28.302	28.337	28.31	
58	5.24	28.301	28.338	28.31	
59	5.34	28.301	28.338	28.309	
60	5.44	28.301	28.338	28.309	
61	5.54	28.301	28.338	28.309	
62	5.64	28.3	28.338	28.309	
63	5.74	28.3	28.338	28.309	
64	5.84	28.3	28.338	28.308	
65	5.94	28.299	28.338	28.308	
66	6.	28.299	28.338	28.308	
67	6.01	28.299	28.338	28.308	
68	6.02	28.299	28.338	28.308	
69	6.05	28.299	28.338	28.308	
70	6.14	28.299	28.338	28.308	
71	6.24	28.299	28.338	28.308	
72	6.34	28.299	28.339	28.308	
73	6.44	28.298	28.339	28.307	
74	6.54	28.298	28.339	28.307	
75	6.64	28.298	28.339	28.307	
76	6.74	28.298	28.339	28.307	
77	6.84	28.298	28.339	28.307	
78	6.94	28.297	28.339	28.307	
79	7.	28.297	28.339	28.307	
80	7.01	28.297	28.339	28.307	
81	7.02	28.297	28.339	28.307	
82	7.05	28.297	28.339	28.307	
83	7.14	28.297	28.339	28.306	
84	7.24	28.297	28.339	28.306	
85	7.34	28.297	28.339	28.306	
86	7.44	28.297	28.339	28.306	
87	7.54	28.297	28.339	28.306	
88	7.64	28.296	28.339	28.306	
89	7.74	28.296	28.34	28.306	
90	7.84	28.296	28.34	28.306	
91	7.94	28.296	28.34	28.306	
92	8.	28.296	28.34	28.306	
93	8.01	28.296	28.34	28.306	
94	8.02	28.296	28.34	28.306	
95	8.05	28.296	28.34	28.306	
96	8.14	28.296	28.34	28.305	
97	8.24	28.296	28.34	28.305	
98	8.34	28.295	28.34	28.305	
99	8.44	28.295	28.34	28.305	
100	8.54	28.295	28.34	28.305	
101	8.64	28.295	28.34	28.305	
102	8.74	28.295	28.34	28.305	
103	8.84	28.295	28.34	28.305	
104	8.94	28.295	28.34	28.305	
105	9.	28.295	28.34	28.305	
106	9.01	28.295	28.34	28.305	
107	9.02	28.295	28.34	28.305	
108	9.05	28.295	28.34	28.305	
109	9.14	28.295	28.34	28.305	
110	9.24	28.295	28.34	28.305	
111	9.34	28.295	28.34	28.305	
112	9.44	28.294	28.34	28.305	
113	9.54	28.294	28.34	28.305	
114	9.64	28.294	28.34	28.304	
115	9.74	28.294	28.34	28.304	
116	9.84	28.294	28.34	28.304	
117	9.94	28.294	28.34	28.304	
118	10.	28.294	28.34	28.304	
119	10.01	28.294	28.34	28.304	
120	10.02	28.294	28.34	28.304	
121	10.05	28.294	28.34	28.304	
122	10.14	28.294	28.34	28.304	
123	10.24	28.294	28.341	28.304	
124	10.34	28.294	28.341	28.304	
125	10.44	28.294	28.341	28.304	
126	10.54	28.294	28.341	28.304	
127	10.64	28.294	28.341	28.304	
128	10.74	28.294	28.341	28.304	
129	10.84	28.294	28.341	28.304	
130	10.94	28.293	28.341	28.304	
131	11.	28.293	28.341	28.304	
132	11.01	28.293	28.341	28.304	
133	11.02	28.293	28.341	28.304	
134	11.05	28.293	28.341	28.304	
135	11.14	28.293	28.341	28.304	
136	11.24	28.293	28.341	28.304	
137	11.34	28.293	28.341	28.304	
138	11.44	28.293	28.341	28.304	
