	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	26.136	28.332	27.346	
2	1.01	26.133	28.332	27.346	
3	1.02	26.13	28.332	27.346	
4	1.05	26.121	28.332	27.344	
5	1.1142	26.105	28.332	27.342	
6	1.2142	26.091	28.332	27.34	
7	1.3142	26.084	28.331	27.338	
8	1.4142	26.081	28.331	27.336	
9	1.5142	26.081	28.331	27.335	
10	1.6142	26.082	28.331	27.334	
11	1.7142	26.084	28.331	27.333	
12	1.8142	26.086	28.331	27.333	
13	1.9142	26.089	28.331	27.332	
14	2.	26.091	28.331	27.332	
15	2.01	26.091	28.331	27.332	
16	2.02	26.091	28.331	27.332	
17	2.05	26.092	28.331	27.332	
18	2.14	26.094	28.331	27.332	
19	2.24	26.096	28.331	27.332	
20	2.34	26.098	28.331	27.332	
21	2.44	26.099	28.332	27.333	
22	2.54	26.101	28.332	27.333	
23	2.64	26.102	28.332	27.333	
24	2.74	26.103	28.332	27.333	
25	2.84	26.104	28.332	27.334	
26	2.94	26.105	28.332	27.334	
27	3.	26.105	28.333	27.334	
28	3.01	26.105	28.333	27.334	
29	3.02	26.105	28.333	27.334	
30	3.05	26.105	28.333	27.335	
31	3.14	26.106	28.333	27.335	
32	3.24	26.107	28.333	27.335	
33	3.34	26.107	28.333	27.336	
34	3.44	26.107	28.333	27.336	
35	3.54	26.108	28.333	27.337	
36	3.64	26.108	28.333	27.337	
37	3.74	26.108	28.334	27.337	
38	3.84	26.108	28.334	27.338	
39	3.94	26.108	28.334	27.338	
40	4.	26.108	28.334	27.338	
41	4.01	26.108	28.334	27.339	
42	4.02	26.108	28.334	27.339	
43	4.05	26.108	28.334	27.339	
44	4.14	26.108	28.334	27.339	
45	4.24	26.108	28.334	27.339	
46	4.34	26.108	28.334	27.34	
47	4.44	26.108	28.334	27.34	
48	4.54	26.108	28.335	27.34	
49	4.64	26.108	28.335	27.341	
50	4.74	26.107	28.335	27.341	
51	4.84	26.107	28.335	27.341	
52	4.94	26.107	28.335	27.342	
53	5.	26.107	28.335	27.342	
54	5.01	26.107	28.335	27.342	
55	5.02	26.107	28.335	27.342	
56	5.05	26.107	28.335	27.342	
57	5.14	26.107	28.335	27.342	
58	5.24	26.106	28.335	27.343	
59	5.34	26.106	28.335	27.343	
60	5.44	26.106	28.335	27.343	
61	5.54	26.106	28.335	27.343	
62	5.64	26.106	28.336	27.344	
63	5.74	26.105	28.336	27.344	
64	5.84	26.105	28.336	27.344	
65	5.94	26.105	28.336	27.344	
66	6.	26.105	28.336	27.345	
67	6.01	26.105	28.336	27.345	
68	6.02	26.105	28.336	27.345	
69	6.05	26.105	28.336	27.345	
70	6.14	26.104	28.336	27.345	
71	6.24	26.104	28.336	27.345	
